trace,source,receiver,offset,cmp,file,shot
1,24.0,1.0,1.0,24.0,3017.dat,3017
2,24.0,1.0,1.0,24.0,3018.dat,3018
3,24.0,3.0,3.0,24.0,3018.dat,3018
4,24.0,3.0,3.0,24.0,3019.dat,3019
5,24.0,5.0,5.0,24.0,3018.dat,3018
6,24.0,5.0,5.0,24.0,3019.dat,3019
7,24.0,7.0,7.0,24.0,3019.dat,3019
8,24.0,7.0,7.0,24.0,3020.dat,3020
9,24.0,9.0,9.0,24.0,3019.dat,3019
10,24.0,9.0,9.0,24.0,3020.dat,3020
11,24.0,11.0,11.0,24.0,3020.dat,3020
12,24.0,11.0,11.0,24.0,3021.dat,3021
13,24.0,13.0,13.0,24.0,3020.dat,3020
14,24.0,13.0,13.0,24.0,3021.dat,3021
15,24.0,15.0,15.0,24.0,3021.dat,3021
16,24.0,15.0,15.0,24.0,3022.dat,3022
17,24.0,17.0,17.0,24.0,3021.dat,3021
18,24.0,17.0,17.0,24.0,3022.dat,3022
19,24.0,19.0,19.0,24.0,3022.dat,3022
20,24.0,19.0,19.0,24.0,3023.dat,3023
21,24.0,21.0,21.0,24.0,3022.dat,3022
22,24.0,21.0,21.0,24.0,3023.dat,3023
23,24.0,23.0,23.0,24.0,3023.dat,3023
24,24.0,23.0,23.0,24.0,3024.dat,3024
25,24.0,25.0,25.0,24.0,3023.dat,3023
26,24.0,25.0,25.0,24.0,3024.dat,3024
27,24.0,27.0,27.0,24.0,3024.dat,3024
28,24.0,27.0,27.0,24.0,3025.dat,3025
29,24.0,29.0,29.0,24.0,3024.dat,3024
30,24.0,29.0,29.0,24.0,3025.dat,3025
31,24.0,31.0,31.0,24.0,3025.dat,3025
32,24.0,31.0,31.0,24.0,3026.dat,3026
33,24.0,33.0,33.0,24.0,3025.dat,3025
34,24.0,33.0,33.0,24.0,3026.dat,3026
35,24.0,35.0,35.0,24.0,3026.dat,3026
36,24.0,35.0,35.0,24.0,3027.dat,3027
37,24.0,37.0,37.0,24.0,3026.dat,3026
38,24.0,37.0,37.0,24.0,3027.dat,3027
39,24.0,39.0,39.0,24.0,3027.dat,3027
40,24.0,39.0,39.0,24.0,3028.dat,3028
41,24.0,41.0,41.0,24.0,3027.dat,3027
42,24.0,41.0,41.0,24.0,3028.dat,3028
43,24.0,43.0,43.0,24.0,3028.dat,3028
44,24.0,43.0,43.0,24.0,3029.dat,3029
45,24.0,45.0,45.0,24.0,3029.dat,3029
46,24.0,47.0,47.0,24.0,3030.dat,3030
