trace,source,receiver,offset,cmp,file,shot
1,16.0,1.0,1.0,16.0,3021.dat,3021
2,16.0,1.0,1.0,16.0,3022.dat,3022
3,16.0,3.0,3.0,16.0,3022.dat,3022
4,16.0,3.0,3.0,16.0,3023.dat,3023
5,16.0,5.0,5.0,16.0,3022.dat,3022
6,16.0,5.0,5.0,16.0,3023.dat,3023
7,16.0,7.0,7.0,16.0,3023.dat,3023
8,16.0,7.0,7.0,16.0,3024.dat,3024
9,16.0,9.0,9.0,16.0,3023.dat,3023
10,16.0,9.0,9.0,16.0,3024.dat,3024
11,16.0,11.0,11.0,16.0,3024.dat,3024
12,16.0,11.0,11.0,16.0,3025.dat,3025
13,16.0,13.0,13.0,16.0,3024.dat,3024
14,16.0,13.0,13.0,16.0,3025.dat,3025
15,16.0,15.0,15.0,16.0,3025.dat,3025
16,16.0,15.0,15.0,16.0,3026.dat,3026
17,16.0,17.0,17.0,16.0,3025.dat,3025
18,16.0,17.0,17.0,16.0,3026.dat,3026
19,16.0,19.0,19.0,16.0,3026.dat,3026
20,16.0,19.0,19.0,16.0,3027.dat,3027
21,16.0,21.0,21.0,16.0,3026.dat,3026
22,16.0,21.0,21.0,16.0,3027.dat,3027
23,16.0,23.0,23.0,16.0,3027.dat,3027
24,16.0,23.0,23.0,16.0,3028.dat,3028
25,16.0,25.0,25.0,16.0,3027.dat,3027
26,16.0,25.0,25.0,16.0,3028.dat,3028
27,16.0,27.0,27.0,16.0,3028.dat,3028
28,16.0,27.0,27.0,16.0,3029.dat,3029
29,16.0,29.0,29.0,16.0,3028.dat,3028
30,16.0,29.0,29.0,16.0,3029.dat,3029
31,16.0,31.0,31.0,16.0,3029.dat,3029
32,16.0,31.0,31.0,16.0,3030.dat,3030
33,16.0,33.0,33.0,16.0,3029.dat,3029
34,16.0,33.0,33.0,16.0,3030.dat,3030
35,16.0,35.0,35.0,16.0,3030.dat,3030
36,16.0,37.0,37.0,16.0,3030.dat,3030
