trace,source,receiver,offset,cmp,file,shot
1,32.0,1.0,1.0,32.0,3013.dat,3013
2,32.0,1.0,1.0,32.0,3014.dat,3014
3,32.0,3.0,3.0,32.0,3014.dat,3014
4,32.0,3.0,3.0,32.0,3015.dat,3015
5,32.0,5.0,5.0,32.0,3014.dat,3014
6,32.0,5.0,5.0,32.0,3015.dat,3015
7,32.0,7.0,7.0,32.0,3015.dat,3015
8,32.0,7.0,7.0,32.0,3016.dat,3016
9,32.0,9.0,9.0,32.0,3015.dat,3015
10,32.0,9.0,9.0,32.0,3016.dat,3016
11,32.0,11.0,11.0,32.0,3016.dat,3016
12,32.0,11.0,11.0,32.0,3017.dat,3017
13,32.0,13.0,13.0,32.0,3016.dat,3016
14,32.0,13.0,13.0,32.0,3017.dat,3017
15,32.0,15.0,15.0,32.0,3017.dat,3017
16,32.0,15.0,15.0,32.0,3018.dat,3018
17,32.0,17.0,17.0,32.0,3017.dat,3017
18,32.0,17.0,17.0,32.0,3018.dat,3018
19,32.0,19.0,19.0,32.0,3018.dat,3018
20,32.0,19.0,19.0,32.0,3019.dat,3019
21,32.0,21.0,21.0,32.0,3018.dat,3018
22,32.0,21.0,21.0,32.0,3019.dat,3019
23,32.0,23.0,23.0,32.0,3019.dat,3019
24,32.0,23.0,23.0,32.0,3020.dat,3020
25,32.0,25.0,25.0,32.0,3019.dat,3019
26,32.0,25.0,25.0,32.0,3020.dat,3020
27,32.0,27.0,27.0,32.0,3020.dat,3020
28,32.0,27.0,27.0,32.0,3021.dat,3021
29,32.0,29.0,29.0,32.0,3021.dat,3021
30,32.0,31.0,31.0,32.0,3022.dat,3022
