28.00
10/Sep/2025	14:53:39	8000
2.00	28.00

Channel 1	Channel 2	Channel 3	Channel 4	Channel 5	Channel 6	Channel 7	Channel 8	Channel 9	Channel 10	Channel 11	Channel 12	Channel 13	Channel 14	Channel 15	Channel 16	Channel 17	Channel 18	Channel 19	Channel 20	Channel 21	Channel 22	Channel 23	Channel 24	Channel 25	Channel 26	Channel 27	Channel 28	Channel 29	Channel 30	Channel 31	Channel 32	Channel 33	Channel 34	Channel 35	Channel 36	Channel 37	Channel 38
287.130126953125	538.262023925781	-1036.54895019531	-87.0171051025391	-240.88899230957	154.282455444336	423.002349853516	98.7356948852539	233.84782409668	-45.7956771850586	335.332702636719	-155.5966796875	74.4038314819336	39.537296295166	-139.467208862305	28.6105575561523	-166.509872436523	154.307647705078	95.4371643066406	-217.687606811523	33.2591209411621	-954.618041992188	-262.301513671875	-187.303924560547	-2.74679446220398	-263.244079589844	-148.794448852539	191.004852294922	-405.056579589844	205.730819702148	138.682815551758	-208.293426513672	397.301971435547	-200.218978881836	-24.1318283081055	-31.0456027984619	408.112518310547	371.746429443359
361.345916748047	-68.278694152832	-648.169006347656	-74.0708999633789	-168.677520751953	171.268920898438	402.871185302734	94.0192031860352	168.95458984375	-34.9274711608887	402.543151855469	-117.968406677246	99.9580001831055	39.4685096740723	-121.626960754395	14.1975555419922	-207.107345581055	167.825775146484	115.06803894043	-241.46257019043	14.0529298782349	-969.167907714844	-277.900848388672	-169.020874023438	42.1369857788086	-273.550537109375	-140.164520263672	179.576461791992	-425.413818359375	245.954345703125	130.486236572266	-204.331451416016	396.26708984375	-233.295257568359	-62.2265663146973	-29.3691711425781	392.989654541016	269.873870849609
122.140548706055	-423.68603515625	-285.566314697266	-34.9743232727051	-118.626724243164	185.686431884766	393.454223632812	87.9750213623047	150.928375244141	-50.7226295471191	427.779052734375	-126.085494995117	118.867820739746	50.466381072998	-111.880935668945	68.1116714477539	-223.076034545898	153.067047119141	122.487358093262	-298.573608398438	32.0163879394531	-986.028625488281	-316.919494628906	-108.803787231445	92.1550827026367	-250.590682983398	-125.795509338379	161.069183349609	-485.462219238281	248.28596496582	116.456382751465	-220.656860351562	391.394104003906	-218.646987915039	-86.9392623901367	-45.428882598877	374.766845703125	110.604995727539
280.497131347656	-1170.69714355469	9.90458679199219	-1.4968478679657	-57.2478790283203	182.777389526367	399.202728271484	62.5644378662109	186.282272338867	-21.2868251800537	437.589385986328	-105.320472717285	118.973121643066	56.0428428649902	-96.9408187866211	113.342407226562	-227.008148193359	145.543441772461	120.306518554688	-331.234344482422	45.7832832336426	-932.077880859375	-331.686004638672	-69.9001083374023	76.6742324829102	-215.138137817383	-134.378707885742	143.790786743164	-511.923492431641	223.403945922852	103.590225219727	-188.304580688477	375.142761230469	-213.599090576172	-113.854736328125	-59.9922027587891	372.861083984375	-44.2865180969238
307.534973144531	-1474.80017089844	236.935150146484	70.4704132080078	0.659868359565735	219.079040527344	370.401092529297	4.5047926902771	179.125778198242	10.0159893035889	509.404846191406	-74.2211685180664	123.452117919922	26.737283706665	-81.9417572021484	88.4250259399414	-219.144302368164	148.274398803711	126.578910827637	-400.415435791016	39.6899108886719	-885.100463867188	-293.405151367188	-86.2750778198242	45.4889144897461	-195.103958129883	-140.430892944336	130.791854858398	-491.320068359375	251.063873291016	112.795509338379	-160.00553894043	381.823913574219	-186.920471191406	-103.773101806641	-48.5714263916016	356.556610107422	-186.891494750977
-781.604248046875	-2288.50708007812	385.894378662109	90.3540267944336	45.1814002990723	229.69140625	359.937866210938	-18.5790748596191	160.955215454102	-31.1634273529053	521.166931152344	-95.0315704345703	157.594711303711	-13.3375186920166	-42.3380241394043	119.682060241699	-148.705093383789	163.383544921875	115.276031494141	-446.015533447266	41.1328086853027	-866.883239746094	-265.017242431641	-61.1797561645508	60.8899230957031	-220.642578125	-136.389938354492	111.352424621582	-492.391265869141	219.105545043945	103.184997558594	-137.390487670898	367.244995117188	-107.004241943359	-96.8522033691406	-38.4187812805176	350.680419921875	-326.671936035156
-4118.044921875	-6701.43896484375	477.365875244141	49.3717727661133	69.0554351806641	197.803985595703	346.931060791016	-24.5092067718506	110.870216369629	17.8673934936523	528.014404296875	-62.5467414855957	150.283325195312	-33.3475456237793	-3.78851628303528	151.971801757812	-148.147064208984	155.511260986328	134.886978149414	-457.075347900391	30.9297332763672	-809.582275390625	-255.27326965332	-45.665714263916	65.649055480957	-232.517639160156	-143.582504272461	83.4280471801758	-480.023803710938	220.99885559082	85.8115692138672	-127.547172546387	379.595764160156	-91.6388702392578	-87.9716186523438	-17.2888813018799	354.498748779297	-440.813842773438
-8819.0634765625	-5175.279296875	538.26318359375	55.7749443054199	82.2719116210938	204.214431762695	367.031829833984	-72.2038192749023	142.043304443359	58.185188293457	569.711975097656	-23.56321144104	130.444473266602	-72.7747344970703	13.7350997924805	134.448135375977	-166.148284912109	152.425628662109	178.483505249023	-468.616241455078	36.7201194763184	-737.095031738281	-209.706558227539	-94.3337554931641	73.3248443603516	-215.460235595703	-130.656127929688	66.2504577636719	-455.845733642578	233.455703735352	94.8600692749023	-88.6108016967773	373.167175292969	-62.6968078613281	-15.3284959793091	-30.4783496856689	370.658020019531	-506.649322509766
-21171.89453125	-514.592346191406	639.361633300781	100.703323364258	124.678512573242	203.344284057617	389.737426757812	-63.3151817321777	135.396728515625	45.5877914428711	557.170288085938	-2.18678283691406	160.075866699219	-91.3991546630859	38.9551887512207	125.423500061035	-132.76741027832	178.252807617188	189.664321899414	-443.748077392578	84.4876251220703	-662.619689941406	-172.516632080078	-127.901885986328	134.143676757812	-229.820114135742	-103.633567810059	61.9271240234375	-416.952270507812	230.81689453125	110.26978302002	-67.325309753418	346.613647460938	13.827618598938	16.9022331237793	-13.0133848190308	355.626739501953	-546.20361328125
-53745.74609375	-5593.34765625	749.743591308594	98.8148727416992	151.799194335938	193.832214355469	364.263732910156	-60.0359001159668	74.4333267211914	94.4109954833984	566.219543457031	55.1112785339355	157.987380981445	-78.3560104370117	54.9674224853516	118.62467956543	-115.96851348877	152.24137878418	205.137191772461	-401.485626220703	97.8243865966797	-558.826171875	-173.6767578125	-155.815277099609	134.203048706055	-241.159805297852	-84.9347229003906	73.5090026855469	-379.393432617188	245.510101318359	120.366554260254	-87.5605010986328	355.525512695312	35.9419136047363	28.9976100921631	25.2010498046875	335.979461669922	-621.525329589844
