trace,source,receiver,offset,cmp,file,shot
1,40.0,1.0,1.0,40.0,3009.dat,3009
2,40.0,1.0,1.0,40.0,3010.dat,3010
3,40.0,3.0,3.0,40.0,3010.dat,3010
4,40.0,3.0,3.0,40.0,3011.dat,3011
5,40.0,5.0,5.0,40.0,3010.dat,3010
6,40.0,5.0,5.0,40.0,3011.dat,3011
7,40.0,7.0,7.0,40.0,3011.dat,3011
8,40.0,7.0,7.0,40.0,3012.dat,3012
9,40.0,9.0,9.0,40.0,3011.dat,3011
10,40.0,9.0,9.0,40.0,3012.dat,3012
11,40.0,11.0,11.0,40.0,3012.dat,3012
12,40.0,11.0,11.0,40.0,3013.dat,3013
13,40.0,13.0,13.0,40.0,3013.dat,3013
14,40.0,15.0,15.0,40.0,3014.dat,3014
