trace,source,receiver,offset,cmp,file,shot
1,20.0,1.0,1.0,20.0,3019.dat,3019
2,20.0,1.0,1.0,20.0,3020.dat,3020
3,20.0,3.0,3.0,20.0,3020.dat,3020
4,20.0,3.0,3.0,20.0,3021.dat,3021
5,20.0,5.0,5.0,20.0,3020.dat,3020
6,20.0,5.0,5.0,20.0,3021.dat,3021
7,20.0,7.0,7.0,20.0,3021.dat,3021
8,20.0,7.0,7.0,20.0,3022.dat,3022
9,20.0,9.0,9.0,20.0,3021.dat,3021
10,20.0,9.0,9.0,20.0,3022.dat,3022
11,20.0,11.0,11.0,20.0,3022.dat,3022
12,20.0,11.0,11.0,20.0,3023.dat,3023
13,20.0,13.0,13.0,20.0,3022.dat,3022
14,20.0,13.0,13.0,20.0,3023.dat,3023
15,20.0,15.0,15.0,20.0,3023.dat,3023
16,20.0,15.0,15.0,20.0,3024.dat,3024
17,20.0,17.0,17.0,20.0,3023.dat,3023
18,20.0,17.0,17.0,20.0,3024.dat,3024
19,20.0,19.0,19.0,20.0,3024.dat,3024
20,20.0,19.0,19.0,20.0,3025.dat,3025
21,20.0,21.0,21.0,20.0,3024.dat,3024
22,20.0,21.0,21.0,20.0,3025.dat,3025
23,20.0,23.0,23.0,20.0,3025.dat,3025
24,20.0,23.0,23.0,20.0,3026.dat,3026
25,20.0,25.0,25.0,20.0,3025.dat,3025
26,20.0,25.0,25.0,20.0,3026.dat,3026
27,20.0,27.0,27.0,20.0,3026.dat,3026
28,20.0,27.0,27.0,20.0,3027.dat,3027
29,20.0,29.0,29.0,20.0,3026.dat,3026
30,20.0,29.0,29.0,20.0,3027.dat,3027
31,20.0,31.0,31.0,20.0,3027.dat,3027
32,20.0,31.0,31.0,20.0,3028.dat,3028
33,20.0,33.0,33.0,20.0,3027.dat,3027
34,20.0,33.0,33.0,20.0,3028.dat,3028
35,20.0,35.0,35.0,20.0,3028.dat,3028
36,20.0,35.0,35.0,20.0,3029.dat,3029
37,20.0,37.0,37.0,20.0,3028.dat,3028
38,20.0,37.0,37.0,20.0,3029.dat,3029
39,20.0,39.0,39.0,20.0,3029.dat,3029
40,20.0,39.0,39.0,20.0,3030.dat,3030
41,20.0,41.0,41.0,20.0,3029.dat,3029
42,20.0,41.0,41.0,20.0,3030.dat,3030
43,20.0,43.0,43.0,20.0,3030.dat,3030
44,20.0,45.0,45.0,20.0,3030.dat,3030
