32.00
10/Sep/2025	14:53:39	8000
2.00	32.00

Channel 1	Channel 2	Channel 3	Channel 4	Channel 5	Channel 6	Channel 7	Channel 8	Channel 9	Channel 10	Channel 11	Channel 12	Channel 13	Channel 14	Channel 15	Channel 16	Channel 17	Channel 18	Channel 19	Channel 20	Channel 21	Channel 22	Channel 23	Channel 24	Channel 25	Channel 26	Channel 27	Channel 28	Channel 29	Channel 30
1448.20764160156	3.06367993354797	-173.302276611328	23.527135848999	-894.640380859375	268.573486328125	-25.4949607849121	637.539672851562	101.404541015625	-1.65987050533295	193.562545776367	137.388610839844	18.8972358703613	33.794677734375	-61.6199722290039	176.472274780273	179.53173828125	275.446075439453	357.033538818359	-200.766098022461	330.555145263672	10.6366806030273	225.273147583008	-128.441223144531	-142.800567626953	-51.5129318237305	-115.187026977539	82.0683670043945	172.086868286133	36.4201164245605
1421.24487304688	469.876770019531	-162.476043701172	40.7297439575195	-907.055541992188	217.300384521484	-47.8114356994629	682.737670898438	87.724967956543	31.0876655578613	140.930740356445	144.505889892578	26.6982650756836	50.4640464782715	-121.21760559082	165.739883422852	210.144088745117	276.934020996094	347.254302978516	-189.722991943359	319.759002685547	1.01553678512573	144.369110107422	-141.894027709961	-123.064590454102	-55.5463600158691	-94.6479721069336	63.1206703186035	130.279098510742	-6.33842945098877
1265.45458984375	-5645.5791015625	-307.794616699219	30.9218559265137	-931.397521972656	174.324783325195	-55.4152526855469	693.139465332031	68.6105651855469	25.3945045471191	99.87646484375	147.456176757812	62.5473403930664	52.6977958679199	-124.421272277832	125.675102233887	174.511428833008	250.734481811523	340.769775390625	-169.9990234375	316.591491699219	-14.9920101165771	52.6989936828613	-99.1987075805664	-122.765724182129	-67.9669036865234	-91.7507095336914	71.481330871582	125.048454284668	-6.67365837097168
1129.31530761719	-401.853607177734	-234.732818603516	-1.09825897216797	-970.704895019531	130.049163818359	-89.3681869506836	678.802551269531	43.127124786377	42.1834411621094	105.95613861084	156.116790771484	95.7235870361328	66.9638290405273	-91.5414581298828	127.702743530273	171.065673828125	236.012298583984	404.564697265625	-118.438140869141	340.826812744141	-38.9850616455078	4.08063125610352	-77.7183837890625	-114.760856628418	-43.8049201965332	-82.0966339111328	86.8606185913086	78.5767364501953	21.1674957275391
913.75634765625	2625.66967773438	-122.845336914062	30.3165245056152	-961.090698242188	35.1145553588867	-114.047470092773	699.163818359375	43.3561096191406	79.0663833618164	100.346008300781	172.857894897461	95.0799865722656	52.8125038146973	-79.9052886962891	123.314147949219	170.790878295898	253.00390625	378.409027099609	-83.2285690307617	328.225067138672	-14.7253093719482	-36.663013458252	-109.037384033203	-56.2292366027832	-43.3756256103516	-82.3352584838867	83.0450744628906	61.4414939880371	-22.9816341400146
217.151260375977	-21913.62109375	-217.607452392578	3.85641360282898	-947.028137207031	-80.9228820800781	-108.181358337402	670.65576171875	44.2086296081543	76.600227355957	77.3151245117188	155.858596801758	103.591812133789	53.3044738769531	-25.9188232421875	99.465934753418	116.581756591797	239.570419311523	355.459808349609	-78.6739730834961	357.930694580078	-29.4222011566162	-89.6905288696289	-91.7786026000977	10.4377136230469	-52.3072166442871	-95.6131896972656	96.7420120239258	44.3453941345215	-28.4067134857178
-5813.08251953125	-51925.2109375	-93.1113357543945	-51.1542472839355	-990.608276367188	-159.518814086914	-136.270294189453	655.600463867188	15.7712125778198	56.5743179321289	121.562461853027	181.863204956055	117.15209197998	52.6381454467773	89.4792938232422	91.4572601318359	91.4004745483398	213.826797485352	360.457702636719	-45.2514915466309	348.053955078125	-34.3722305297852	-130.5107421875	-90.9082260131836	68.2856292724609	-34.3269920349121	-70.1550827026367	60.7457542419434	25.73801612854	-0.0298181511461735
-19121.1953125	-71780.96875	-126.051155090332	-45.8360557556152	-1024.36657714844	-252.313293457031	-171.124420166016	649.708923339844	-15.8092384338379	35.8684120178223	159.922943115234	195.513336181641	129.714096069336	57.5842056274414	194.105178833008	82.5895309448242	97.9137115478516	206.080596923828	327.104217529297	-50.3998336791992	333.750762939453	-48.3097038269043	-130.654739379883	-109.955612182617	121.562957763672	-27.4147853851318	-77.9850997924805	28.1168975830078	25.5140724182129	-34.130126953125
-33812.31640625	-46355.4609375	-204.524963378906	-60.816822052002	-1019.53375244141	-325.941070556641	-158.691070556641	581.550903320312	-17.8069667816162	26.5723705291748	170.073303222656	195.769729614258	136.326324462891	107.198043823242	257.909790039062	76.7524490356445	85.7916641235352	181.433685302734	314.870239257812	-22.6086177825928	358.565338134766	-46.6123237609863	-146.66423034668	-90.3772506713867	227.6484375	-35.4329986572266	-73.8642120361328	55.9247436523438	2.40127372741699	-56.7511253356934
-51999.33203125	-16812.806640625	-307.310211181641	-93.5357437133789	-1021.00128173828	-329.627899169922	-159.733093261719	587.734008789062	-32.8176345825195	23.7814865112305	189.605804443359	205.538726806641	122.435684204102	129.385971069336	308.691741943359	44.2689819335938	41.8947257995605	136.822998046875	311.977355957031	31.365535736084	349.925628662109	-17.8530673980713	-180.019149780273	-62.5339164733887	298.573852539062	-33.4487533569336	-66.2210845947266	45.306583404541	0.654902100563049	-71.891975402832
