trace,source,receiver,offset,cmp,file,shot
1,28.0,1.0,1.0,28.0,3015.dat,3015
2,28.0,1.0,1.0,28.0,3016.dat,3016
3,28.0,3.0,3.0,28.0,3016.dat,3016
4,28.0,3.0,3.0,28.0,3017.dat,3017
5,28.0,5.0,5.0,28.0,3016.dat,3016
6,28.0,5.0,5.0,28.0,3017.dat,3017
7,28.0,7.0,7.0,28.0,3017.dat,3017
8,28.0,7.0,7.0,28.0,3018.dat,3018
9,28.0,9.0,9.0,28.0,3017.dat,3017
10,28.0,9.0,9.0,28.0,3018.dat,3018
11,28.0,11.0,11.0,28.0,3018.dat,3018
12,28.0,11.0,11.0,28.0,3019.dat,3019
13,28.0,13.0,13.0,28.0,3018.dat,3018
14,28.0,13.0,13.0,28.0,3019.dat,3019
15,28.0,15.0,15.0,28.0,3019.dat,3019
16,28.0,15.0,15.0,28.0,3020.dat,3020
17,28.0,17.0,17.0,28.0,3019.dat,3019
18,28.0,17.0,17.0,28.0,3020.dat,3020
19,28.0,19.0,19.0,28.0,3020.dat,3020
20,28.0,19.0,19.0,28.0,3021.dat,3021
21,28.0,21.0,21.0,28.0,3020.dat,3020
22,28.0,21.0,21.0,28.0,3021.dat,3021
23,28.0,23.0,23.0,28.0,3021.dat,3021
24,28.0,23.0,23.0,28.0,3022.dat,3022
25,28.0,25.0,25.0,28.0,3021.dat,3021
26,28.0,25.0,25.0,28.0,3022.dat,3022
27,28.0,27.0,27.0,28.0,3022.dat,3022
28,28.0,27.0,27.0,28.0,3023.dat,3023
29,28.0,29.0,29.0,28.0,3022.dat,3022
30,28.0,29.0,29.0,28.0,3023.dat,3023
31,28.0,31.0,31.0,28.0,3023.dat,3023
32,28.0,31.0,31.0,28.0,3024.dat,3024
33,28.0,33.0,33.0,28.0,3023.dat,3023
34,28.0,33.0,33.0,28.0,3024.dat,3024
35,28.0,35.0,35.0,28.0,3024.dat,3024
36,28.0,35.0,35.0,28.0,3025.dat,3025
37,28.0,37.0,37.0,28.0,3025.dat,3025
38,28.0,39.0,39.0,28.0,3026.dat,3026
