trace,source,receiver,offset,cmp,file,shot
1,12.0,1.0,1.0,12.0,3023.dat,3023
2,12.0,1.0,1.0,12.0,3024.dat,3024
3,12.0,3.0,3.0,12.0,3024.dat,3024
4,12.0,3.0,3.0,12.0,3025.dat,3025
5,12.0,5.0,5.0,12.0,3024.dat,3024
6,12.0,5.0,5.0,12.0,3025.dat,3025
7,12.0,7.0,7.0,12.0,3025.dat,3025
8,12.0,7.0,7.0,12.0,3026.dat,3026
9,12.0,9.0,9.0,12.0,3025.dat,3025
10,12.0,9.0,9.0,12.0,3026.dat,3026
11,12.0,11.0,11.0,12.0,3026.dat,3026
12,12.0,11.0,11.0,12.0,3027.dat,3027
13,12.0,13.0,13.0,12.0,3026.dat,3026
14,12.0,13.0,13.0,12.0,3027.dat,3027
15,12.0,15.0,15.0,12.0,3027.dat,3027
16,12.0,15.0,15.0,12.0,3028.dat,3028
17,12.0,17.0,17.0,12.0,3027.dat,3027
18,12.0,17.0,17.0,12.0,3028.dat,3028
19,12.0,19.0,19.0,12.0,3028.dat,3028
20,12.0,19.0,19.0,12.0,3029.dat,3029
21,12.0,21.0,21.0,12.0,3028.dat,3028
22,12.0,21.0,21.0,12.0,3029.dat,3029
23,12.0,23.0,23.0,12.0,3029.dat,3029
24,12.0,23.0,23.0,12.0,3030.dat,3030
25,12.0,25.0,25.0,12.0,3029.dat,3029
26,12.0,25.0,25.0,12.0,3030.dat,3030
27,12.0,27.0,27.0,12.0,3030.dat,3030
28,12.0,29.0,29.0,12.0,3030.dat,3030
