12.00
10/Sep/2025	14:53:39	8000
2.00	12.00

Channel 1	Channel 2	Channel 3	Channel 4	Channel 5	Channel 6	Channel 7	Channel 8	Channel 9	Channel 10	Channel 11	Channel 12	Channel 13	Channel 14	Channel 15	Channel 16	Channel 17	Channel 18	Channel 19	Channel 20	Channel 21	Channel 22	Channel 23	Channel 24	Channel 25	Channel 26	Channel 27	Channel 28
-211.625686645508	-1443.6396484375	-724.112670898438	111.731597900391	-654.889343261719	-26.2162799835205	-227.364227294922	256.848815917969	34.6604270935059	30.9306144714355	-26.1116065979004	-53.6789588928223	240.048187255859	-56.3388481140137	151.469696044922	-177.171173095703	1140.47045898438	-250.365844726562	-278.819122314453	-141.147186279297	-165.742568969727	-604.711791992188	-606.443054199219	225.613143920898	-322.016815185547	-40.9573593139648	90.1860427856445	94.5890960693359
-136.405029296875	-1373.96215820312	-737.18505859375	84.7976684570312	-637.940368652344	-48.461009979248	-258.055206298828	250.129241943359	73.6719360351562	9.10709190368652	-52.3227081298828	-94.1044921875	201.03923034668	-92.226692199707	136.895538330078	-183.087692260742	964.819702148438	-253.393997192383	-270.297973632812	-86.0885848999023	-133.300674438477	-592.632995605469	-604.650268554688	222.733840942383	-346.554931640625	-54.2614784240723	90.7365036010742	113.675445556641
-134.475555419922	-1345.01684570312	-771.977294921875	70.7616119384766	-623.973266601562	-53.2311668395996	-313.621856689453	217.157196044922	75.5023574829102	-24.7073822021484	-102.183296203613	-113.061676025391	119.111930847168	-89.6815643310547	66.3810043334961	-196.226837158203	829.06640625	-197.449996948242	-272.052520751953	-69.2909622192383	-120.125648498535	-605.742797851562	-597.201538085938	218.056747436523	-348.603363037109	-100.457366943359	80.7564849853516	112.671188354492
-152.896133422852	-1354.31982421875	-812.174377441406	56.7792053222656	-596.716857910156	-92.9595031738281	-341.011199951172	192.409439086914	110.523399353027	-27.4416694641113	-199.403686523438	-117.721237182617	59.6966743469238	-102.679725646973	0.635038912296295	-235.731018066406	680.830017089844	-180.496246337891	-306.759552001953	-81.0313262939453	-126.244369506836	-609.090454101562	-609.361938476562	186.563339233398	-385.856506347656	-200.46418762207	106.683700561523	159.546951293945
-37.6935119628906	-1344.73937988281	-810.644714355469	96.3071899414062	-570.762573242188	-98.6268081665039	-330.3427734375	179.766052246094	155.387908935547	-93.0309219360352	-284.134948730469	-125.760734558105	59.3403587341309	-143.910430908203	-16.6990737915039	-254.706268310547	535.445007324219	-192.494491577148	-318.951904296875	-82.9498062133789	-110.183006286621	-629.550903320312	-600.314208984375	190.068695068359	-374.612335205078	-232.476806640625	89.9207305908203	159.263381958008
-88.0042266845703	-2401.5654296875	-827.656860351562	114.747406005859	-546.227416992188	-68.6732940673828	-338.116027832031	72.979248046875	161.717697143555	-114.885902404785	-322.155792236328	-178.328201293945	60.117115020752	-125.359237670898	-77.4228439331055	-261.463836669922	376.208221435547	-141.897079467773	-323.550750732422	-67.134033203125	-95.985481262207	-634.106567382812	-628.070251464844	182.246536254883	-360.039916992188	-240.6669921875	102.709030151367	150.613693237305
0.821657836437225	-1626.26086425781	-850.146179199219	96.9391937255859	-464.450469970703	-103.281044006348	-321.4091796875	-31.7016315460205	180.48551940918	-145.617477416992	-367.524780273438	-187.411880493164	61.152530670166	-127.16381072998	-115.422554016113	-268.266448974609	258.670715332031	-118.232513427734	-319.856384277344	-40.8141784667969	-100.881690979004	-591.361877441406	-672.19873046875	172.260025024414	-401.564971923828	-244.821258544922	145.670257568359	175.080444335938
-227.269577026367	-419.830902099609	-839.8037109375	91.8281784057617	-426.619934082031	-109.704986572266	-301.714202880859	-91.8122253417969	218.851959228516	-195.320159912109	-352.976959228516	-133.452133178711	60.1040916442871	-137.295364379883	-128.881240844727	-249.886947631836	177.323745727539	-96.2458419799805	-277.954376220703	-16.9397735595703	-69.6159210205078	-583.515991210938	-702.593017578125	172.320236206055	-421.751800537109	-223.973052978516	130.087173461914	181.308029174805
69.9100189208984	-4632.29931640625	-807.028015136719	71.6289978027344	-392.346588134766	-96.6862182617188	-306.089721679688	-185.863052368164	250.122802734375	-213.888763427734	-312.715270996094	-125.679389953613	77.8276748657227	-103.186988830566	-136.719955444336	-277.350128173828	83.0336990356445	-102.176330566406	-253.772918701172	-38.1846313476562	-70.6905212402344	-598.490112304688	-721.483825683594	162.143753051758	-394.646911621094	-213.851455688477	135.397262573242	187.127349853516
-1254.66516113281	-11458.4775390625	-775.733581542969	42.1823501586914	-369.322021484375	-69.2642135620117	-285.341766357422	-288.545501708984	256.843597412109	-249.570037841797	-285.810119628906	-98.5158767700195	77.6137847900391	-119.627822875977	-99.9936370849609	-278.601928710938	54.8650665283203	-140.599212646484	-232.503234863281	-38.46435546875	-71.9527130126953	-555.298767089844	-730.542175292969	123.061935424805	-433.245300292969	-169.146682739258	120.072616577148	175.867813110352
-5726.6650390625	-18850.736328125	-755.258544921875	-13.3141469955444	-359.087127685547	-39.880802154541	-280.749389648438	-363.732360839844	269.077423095703	-208.374130249023	-241.284896850586	-47.4219551086426	43.5881423950195	-101.840705871582	-90.159065246582	-255.546508789062	16.8474006652832	-110.431274414062	-165.563583374023	5.05940389633179	-7.72047424316406	-546.939147949219	-786.848266601562	84.9914703369141	-478.876739501953	-135.331146240234	128.895553588867	171.336120605469
-6505.68701171875	-24882.158203125	-754.170349121094	-7.76757383346558	-317.180114746094	-78.2989883422852	-271.172271728516	-413.554138183594	288.01953125	-203.070159912109	-225.1533203125	-35.2725524902344	2.797687292099	-81.8734893798828	-109.524475097656	-270.444274902344	-26.2255668640137	-117.280838012695	-109.224113464355	3.25522780418396	2.40224742889404	-550.012512207031	-814.062683105469	74.5412750244141	-455.678436279297	-58.7008514404297	144.582962036133	177.866470336914
-7825.6103515625	-24509.37109375	-734.941467285156	-22.3090591430664	-372.830535888672	-66.1241149902344	-240.073348999023	-501.041259765625	308.196685791016	-221.400787353516	-178.884033203125	-30.1914196014404	5.07574605941772	-132.237319946289	-108.539978027344	-258.460662841797	2.99091744422913	-143.686126708984	-79.9238510131836	-2.74359965324402	-16.138557434082	-533.518981933594	-808.629028320312	30.4505386352539	-453.451080322266	21.7250480651855	125.363960266113	168.056335449219
-14370.4912109375	-18140.4296875	-718.589172363281	-63.2451248168945	-394.696258544922	-53.2762985229492	-253.390029907227	-564.923889160156	347.302673339844	-200.728057861328	-118.913154602051	-27.4938640594482	10.7692785263062	-126.282417297363	-51.9005241394043	-266.005065917969	51.8327369689941	-125.723281860352	-7.91864728927612	23.8439807891846	-11.0308856964111	-556.063842773438	-828.238159179688	5.55127668380737	-483.8173828125	33.8382911682129	127.268730163574	174.700439453125
-18804.69921875	-16405.2265625	-720.746765136719	-41.9261283874512	-380.929077148438	-53.4959907531738	-275.8037109375	-604.843444824219	377.18603515625	-223.775604248047	-100.563934326172	5.71646738052368	-47.788745880127	-150.820785522461	-28.4038829803467	-273.882110595703	75.5501861572266	-123.79566192627	26.3388633728027	24.0887050628662	-15.4436416625977	-537.360412597656	-846.558959960938	-40.1374015808105	-526.282775878906	87.8315048217773	131.068313598633	190.136856079102
-25019.87890625	-29645.759765625	-714.760192871094	-94.3914108276367	-451.817565917969	-64.8916625976562	-212.285263061523	-653.030700683594	392.414245605469	-240.532287597656	-68.2748413085938	-6.91534852981567	-67.2886810302734	-193.510177612305	-34.3020324707031	-254.845092773438	117.523139953613	-161.331680297852	72.6715393066406	6.7193660736084	-31.5998344421387	-520.827758789062	-848.786804199219	-104.090545654297	-516.417175292969	138.034149169922	127.531005859375	203.665008544922
-34443.16796875	-51380.78515625	-713.068420410156	-65.0194549560547	-485.640777587891	-97.0563354492188	-187.478607177734	-684.657165527344	369.161865234375	-274.495239257812	-50.221565246582	-39.6524391174316	-89.7719573974609	-155.574264526367	-11.4216299057007	-251.864471435547	162.517623901367	-167.823104858398	119.611938476562	31.0740814208984	-55.7532806396484	-510.577484130859	-855.658447265625	-128.871200561523	-525.861083984375	152.072326660156	108.451248168945	216.016693115234
-38831.26171875	-66897.59375	-703.263366699219	44.3492012023926	-457.671264648438	-73.2281265258789	-217.159072875977	-685.567321777344	374.726593017578	-309.885162353516	-36.505744934082	-25.0797290802002	-150.53955078125	-182.530639648438	-5.80017852783203	-258.312225341797	157.484008789062	-143.39208984375	110.541946411133	33.6688079833984	-71.4343185424805	-520.048156738281	-879.242797851562	-156.556304931641	-542.801879882812	166.047470092773	105.735244750977	225.513488769531
-33154.89453125	-63791.484375	-699.26513671875	8.10794353485107	-456.791931152344	-75.7763748168945	-188.544097900391	-591.562377929688	390.446411132812	-327.729309082031	15.6883630752563	-52.8112525939941	-196.033569335938	-214.453308105469	-6.12690830230713	-265.370849609375	196.241897583008	-141.765502929688	134.601943969727	24.8353042602539	-86.8106002807617	-532.996887207031	-837.252014160156	-167.949111938477	-543.323303222656	161.012252807617	93.2197418212891	228.213409423828
-23771.759765625	-33498.1171875	-649.375732421875	-63.9715919494629	-469.283843994141	-81.9559173583984	-186.76741027832	-441.811004638672	388.522308349609	-344.574005126953	62.3788032531738	-52.1857681274414	-227.908493041992	-175.083953857422	-28.3923454284668	-249.440582275391	213.93830871582	-147.24723815918	116.918685913086	17.0368041992188	-137.641876220703	-498.361358642578	-784.787475585938	-161.065093994141	-574.084594726562	128.457153320312	116.707023620605	235.523727416992
-20683.826171875	18834.921875	-602.126647949219	-67.8213043212891	-469.084808349609	-69.177978515625	-207.287002563477	-286.13427734375	399.929016113281	-328.414764404297	116.343727111816	-69.7668228149414	-268.503784179688	-169.909164428711	-7.68349313735962	-261.187408447266	194.509643554688	-172.920227050781	100.85750579834	-2.53610324859619	-167.715866088867	-506.502624511719	-798.150939941406	-153.837036132812	-557.545166015625	124.401123046875	151.701431274414	241.609329223633
