20.00
10/Sep/2025	14:53:39	8000
2.00	20.00

Channel 1	Channel 2	Channel 3	Channel 4	Channel 5	Channel 6	Channel 7	Channel 8	Channel 9	Channel 10	Channel 11	Channel 12	Channel 13	Channel 14	Channel 15	Channel 16	Channel 17	Channel 18	Channel 19	Channel 20	Channel 21	Channel 22	Channel 23	Channel 24	Channel 25	Channel 26	Channel 27	Channel 28	Channel 29	Channel 30	Channel 31	Channel 32	Channel 33	Channel 34	Channel 35	Channel 36	Channel 37	Channel 38	Channel 39	Channel 40	Channel 41	Channel 42	Channel 43	Channel 44
123.996429443359	-963.500366210938	-454.474578857422	229.827377319336	-230.779449462891	264.586608886719	-378.108306884766	194.584564208984	-17.9309883117676	-29.5697898864746	103.200317382812	-175.619903564453	-60.7652702331543	-324.781219482422	-228.267913818359	-121.671539306641	-178.681915283203	-371.782897949219	-127.884834289551	-115.688835144043	152.729568481445	-160.275634765625	4.49683523178101	-60.9795074462891	-390.355529785156	134.543823242188	-221.886779785156	42.6688079833984	171.75325012207	545.364868164062	276.689788818359	-166.126754760742	33.2726631164551	-175.07405090332	-54.8938903808594	395.520660400391	-524.365051269531	351.356628417969	385.097747802734	-20.9224014282227	290.185150146484	-7.67739391326904	41.3349952697754	7.23935842514038
112.684028625488	-1120.08117675781	-536.084350585938	245.477493286133	-263.708923339844	192.137313842773	-336.09814453125	212.682830810547	28.6397609710693	39.6548461914062	101.132827758789	-191.551361083984	-79.1241836547852	-345.66064453125	-235.788650512695	-88.6863403320312	-177.151138305664	-330.885223388672	-82.1924133300781	-124.294807434082	113.557159423828	-131.951293945312	-22.7158699035645	-50.4008560180664	-415.914794921875	92.2832260131836	-204.534454345703	63.9779319763184	118.554534912109	630.790954589844	247.400466918945	-158.455169677734	28.3966083526611	-222.705780029297	-261.155151367188	416.076293945312	-493.824554443359	321.183410644531	387.068572998047	4.18432092666626	310.262023925781	30.089672088623	12.249041557312	33.8132133483887
95.0232162475586	-1231.67236328125	-623.828674316406	318.700225830078	-304.819305419922	130.13200378418	-249.316635131836	219.68896484375	46.119800567627	116.445571899414	68.9150848388672	-210.074249267578	-127.019309997559	-338.846252441406	-221.831878662109	-94.2805557250977	-155.63427734375	-347.124542236328	-97.3654479980469	-142.175903320312	121.75025177002	-106.476486206055	-52.6056175231934	-51.7172203063965	-404.037658691406	87.4607772827148	-181.811462402344	77.1655654907227	51.5703201293945	670.02001953125	229.190658569336	-179.566833496094	-12.0510320663452	-253.774124145508	-456.6953125	370.008636474609	-465.868835449219	313.466430664062	394.901245117188	24.5870170593262	368.266143798828	51.664436340332	9.14777278900146	21.6451301574707
101.894798278809	-1337.94470214844	-718.365234375	337.892669677734	-345.165985107422	-24.795747756958	-212.430252075195	240.944778442383	32.9664001464844	187.098373413086	53.0280685424805	-192.885070800781	-165.197402954102	-333.504852294922	-228.85578918457	-85.3601913452148	-153.500930786133	-336.619995117188	-136.399917602539	-155.838806152344	109.950843811035	-103.160949707031	-65.2835845947266	-43.667594909668	-450.086853027344	68.3673782348633	-196.514312744141	84.3259429931641	20.5939788818359	715.886962890625	196.839340209961	-208.584243774414	-65.0792007446289	-265.074951171875	-522.118041992188	293.390747070312	-402.752990722656	321.580902099609	394.662841796875	-7.76835107803345	439.696899414062	70.6240539550781	2.82950234413147	25.4883861541748
141.3515625	-1468.39709472656	-801.808410644531	314.465209960938	-382.860382080078	-197.659393310547	-189.980865478516	277.979766845703	50.6148719787598	283.368072509766	33.1976661682129	-213.22639465332	-181.078033447266	-316.142028808594	-232.604187011719	-54.9504699707031	-170.047271728516	-322.1376953125	-118.373237609863	-155.302062988281	78.5130462646484	-92.5687713623047	-89.6929626464844	11.8460292816162	-490.103393554688	42.8506965637207	-204.876663208008	108.349716186523	-34.6226921081543	742.645751953125	145.917175292969	-241.64582824707	-80.653564453125	-293.219879150391	-476.119567871094	194.528945922852	-310.099334716797	338.998291015625	411.292114257812	-5.24240636825562	476.386657714844	62.2981491088867	2.0820906162262	49.9055480957031
296.448120117188	-1509.55041503906	-883.314331054688	317.911041259766	-460.397979736328	-343.980194091797	-140.967239379883	313.939636230469	72.8545150756836	341.158233642578	38.6453857421875	-224.798522949219	-174.756820678711	-276.833374023438	-254.938507080078	-35.4834442138672	-138.81787109375	-319.129943847656	-140.634292602539	-154.846801757812	57.6304931640625	-68.1365509033203	-164.382080078125	16.130786895752	-504.998382568359	8.32198524475098	-243.984664916992	82.6344985961914	-105.736259460449	726.939208984375	108.386993408203	-249.341720581055	-97.7726745605469	-326.707916259766	-432.894897460938	111.19393157959	-211.315551757812	373.628265380859	450.309692382812	24.2320213317871	452.845428466797	70.2583541870117	-5.52519559860229	30.7763690948486
712.082946777344	-1591.64184570312	-990.27197265625	316.214935302734	-505.103973388672	-465.42431640625	-123.98161315918	329.686065673828	77.7277450561523	368.520965576172	40.888858795166	-242.499862670898	-180.491470336914	-267.282012939453	-243.459823608398	-42.2378616333008	-109.683624267578	-292.891784667969	-154.063919067383	-185.974685668945	49.6078643798828	-54.5521430969238	-192.388076782227	2.31371307373047	-534.875	-47.2666664123535	-247.05339050293	61.6937522888184	-131.277847290039	762.672546386719	52.2334289550781	-316.272125244141	-74.793098449707	-288.521026611328	-334.336975097656	51.2248191833496	-109.733619689941	360.417236328125	447.039093017578	0.166910767555237	395.734558105469	107.910705566406	-20.3402099609375	59.6930351257324
1406.37145996094	-1637.453125	-1079.62341308594	355.161529541016	-535.883239746094	-584.101318359375	-120.234375	346.630981445312	79.8467712402344	401.779876708984	37.6663055419922	-238.423278808594	-211.853713989258	-274.780212402344	-236.852340698242	-17.9239768981934	-91.1914138793945	-292.723754882812	-181.600677490234	-209.712158203125	46.1603851318359	-56.9431915283203	-151.663009643555	22.541919708252	-510.356323242188	-68.4272155761719	-267.908966064453	57.7120246887207	-166.449630737305	774.219116210938	25.1356201171875	-355.391540527344	-14.8484735488892	-257.487701416016	-276.797637939453	-14.0758333206177	-76.0580062866211	343.540222167969	404.446563720703	8.73586368560791	373.573211669922	109.384330749512	-0.825438916683197	56.1300163269043
2172.16748046875	-1789.06811523438	-1107.51794433594	377.2587890625	-594.425476074219	-680.882263183594	-119.477317810059	372.176605224609	72.6249465942383	402.953765869141	9.53846073150635	-223.599853515625	-220.850158691406	-247.967468261719	-235.019638061523	36.5630073547363	-86.3042373657227	-293.564758300781	-209.818908691406	-226.493896484375	4.23743915557861	-46.6154708862305	-171.900665283203	4.93235874176025	-519.615173339844	-92.3924255371094	-330.35498046875	18.6221179962158	-214.265777587891	768.750732421875	-18.7389030456543	-354.940002441406	9.47526264190674	-238.241897583008	-242.719970703125	-17.5335941314697	-63.7682571411133	338.643951416016	373.107788085938	0.658406496047974	342.393707275391	94.1912155151367	10.7614107131958	3.36241817474365
3483.05688476562	-1920.22900390625	-1130.39086914062	398.892181396484	-640.68994140625	-728.571411132812	-134.133682250977	395.679595947266	46.022647857666	408.710388183594	-36.8194351196289	-250.183288574219	-200.507019042969	-220.787582397461	-253.92707824707	31.7796211242676	-80.4117126464844	-280.977264404297	-214.447006225586	-253.961151123047	2.24236059188843	-72.9936294555664	-184.160766601562	-27.4137916564941	-526.322509765625	-101.404319763184	-369.787231445312	3.05868148803711	-216.461761474609	789.094116210938	-62.0636177062988	-392.228881835938	49.6647415161133	-229.483184814453	-199.276412963867	69.2529754638672	-9.25008392333984	308.298919677734	359.397033691406	5.15260362625122	350.112823486328	58.7435188293457	6.91372966766357	-13.6824769973755
