44.00
10/Sep/2025	14:53:39	8000
2.00	44.00

Channel 1	Channel 2	Channel 3	Channel 4	Channel 5	Channel 6
411.841827392578	-85.3213958740234	-800.251770019531	-52.3354873657227	81.5136260986328	-252.270431518555
6389.38525390625	-187.981781005859	-817.83544921875	-36.3275184631348	128.478515625	-238.922332763672
-48054.32421875	-253.889419555664	-834.125671386719	-41.4575119018555	143.041778564453	-201.354476928711
37881.7734375	-328.211608886719	-862.471069335938	-20.984676361084	162.55094909668	-187.861831665039
126013.890625	-417.415924072266	-880.166687011719	-4.16326093673706	204.532089233398	-191.222137451172
208788.25	-326.555084228516	-828.176330566406	16.9348564147949	246.997039794922	-177.808990478516
442181.96875	-569.992553710938	-783.916259765625	51.0873031616211	298.514038085938	-164.802688598633
528683.6875	-211.725570678711	-746.957946777344	71.1596145629883	319.826354980469	-195.066345214844
510557.375	-590.967407226562	-708.411315917969	70.401252746582	375.675170898438	-206.943481445312
523998.65625	-43.5506782531738	-677.082885742188	79.2726593017578	396.430023193359	-202.038024902344
515287.09375	-4187.45361328125	-612.866027832031	94.8523712158203	386.250640869141	-202.481491088867
518574.15625	-20142.806640625	-505.467132568359	113.712684631348	440.170166015625	-221.100860595703
521082.125	-32284.26171875	-368.4677734375	133.581283569336	430.959075927734	-255.816802978516
512677.9375	-34421.68359375	-221.869888305664	125.27596282959	424.853515625	-257.486358642578
528076.9375	-28773.728515625	-163.892776489258	163.60009765625	460.454376220703	-295.20849609375
482474.375	-25972.78515625	-286.186340332031	210.503692626953	424.815673828125	-313.198211669922
335343.34375	-40341.453125	-496.328521728516	206.603897094727	432.434997558594	-304.883697509766
188065.21875	-63037.55859375	-586.828308105469	186.675003051758	439.959320068359	-319.613311767578
37090.1328125	-80436.0234375	-324.423767089844	210.575042724609	409.928375244141	-285.037750244141
-78742.7109375	-68699.390625	161.990493774414	244.067886352539	415.759857177734	-233.305419921875
-182964.109375	-43741.609375	655.694763183594	240.406829833984	386.666931152344	-170.927444458008
-306986.9375	-44963.28125	1240.86987304688	299.592010498047	385.67822265625	-130.199371337891
-400962.40625	-66062.265625	1659.25817871094	311.060302734375	361.796203613281	-103.726715087891
-489185.3125	-91032.2421875	1618.10107421875	302.397583007812	327.636505126953	-63.2622184753418
-522951.96875	-93019.1640625	1214.98095703125	353.264434814453	316.968841552734	-68.1115417480469
-515910.46875	-51345.16015625	531.648376464844	337.312286376953	263.109313964844	-91.2496643066406
-519862.875	21757.93359375	-133.305526733398	372.181884765625	264.433288574219	-75.3451843261719
-518171.5	110333.8671875	-502.168060302734	427.894073486328	205.135360717773	-82.2487030029297
-518252.53125	209094.78125	-607.395812988281	428.617492675781	161.012329101562	-150.322250366211
-519391.375	312260.78125	-496.545013427734	425.299102783203	189.840789794922	-167.464782714844
-517727.5	404353.65625	-190.343780517578	405.852844238281	149.079223632812	-179.31770324707
-519182.875	460082.625	266.571044921875	383.270263671875	122.693298339844	-223.979644775391
-518498	443876.1875	783.11376953125	351.237335205078	82.052604675293	-254.916244506836
-517412.125	341838.71875	1330.12927246094	365.908111572266	62.4578056335449	-304.447906494141
-520315.40625	179613.84375	1769.79772949219	355.072845458984	76.3713302612305	-312.144409179688
-514427	-9568.798828125	1923.69421386719	303.026580810547	47.4634475708008	-340.8623046875
-524739.25	-168163.59375	1707.68090820312	301.432952880859	48.9945602416992	-382.892272949219
-477266.78125	-255595.265625	1158.80749511719	306.749908447266	54.8828010559082	-372.196716308594
-324416.03125	-250563.140625	549.748596191406	286.801452636719	11.1411781311035	-391.149536132812
-181637.8125	-143362.28125	153.645538330078	257.283416748047	4.41736125946045	-387.100219726562
-48253.890625	38028.7734375	65.5618896484375	250.318222045898	54.5187911987305	-411.058288574219
80605.28125	309173.0625	143.055694580078	240.895004272461	54.5417633056641	-429.177368164062
176308.125	508273.75	195.681060791016	233.652191162109	45.7616653442383	-382.950317382812
258575.265625	519234.03125	143.722900390625	209.578277587891	50.7442207336426	-391.186706542969
306551.5	513612.75	45.1438865661621	181.485626220703	-7.50083446502686	-364.108154296875
332265.28125	519268.96875	-1.91358578205109	190.782379150391	-12.9065942764282	-343.203277587891
338749.71875	513942.5	-111.184394836426	162.946319580078	-15.4736833572388	-342.900207519531
318371	518062.53125	-298.525726318359	194.047882080078	-69.2575073242188	-294.363006591797
293646.8125	515251.375	-358.399658203125	189.866134643555	-79.6402893066406	-331.514984130859
