40.00
10/Sep/2025	14:53:39	8000
2.00	40.00

Channel 1	Channel 2	Channel 3	Channel 4	Channel 5	Channel 6	Channel 7	Channel 8	Channel 9	Channel 10	Channel 11	Channel 12	Channel 13	Channel 14
-70.5217742919922	-931.928588867188	106.256553649902	111.21012878418	-15.5095052719116	-33.2600860595703	156.109329223633	-171.25715637207	252.369995117188	-98.0096740722656	-366.293853759766	0.74285900592804	384.001342773438	-217.009094238281
-80.0494537353516	-932.066528320312	88.0695037841797	61.7290649414062	-61.2006912231445	-20.8941230773926	227.083541870117	-183.706497192383	284.567840576172	-92.0376815795898	-350.645812988281	-39.5050849914551	371.172515869141	-258.296295166016
0.421519815921783	-930.35302734375	33.7903938293457	38.6187896728516	-70.9794616699219	-10.6700124740601	202.618682861328	-210.672760009766	322.408203125	-137.520202636719	-342.410919189453	-77.5341567993164	416.772155761719	-239.974548339844
-132.790130615234	-818.082153320312	26.0625057220459	89.0922088623047	-79.8274917602539	22.0930309295654	134.413452148438	-216.234344482422	352.701416015625	-159.715850830078	-345.701904296875	-76.3686981201172	415.213256835938	-208.993347167969
28.2592735290527	-2582.97143554688	-16.8359508514404	74.7172088623047	-75.0756607055664	37.1997833251953	148.433822631836	-227.415283203125	367.964752197266	-159.479049682617	-327.694152832031	-97.630973815918	413.252105712891	-180.167617797852
-107.438873291016	-8673.7626953125	-20.8940048217773	65.9184951782227	-74.8304824829102	44.904052734375	144.178741455078	-204.471817016602	341.756622314453	-195.172393798828	-312.004943847656	-108.953750610352	407.047515869141	-155.236282348633
16.37278175354	-18397.623046875	-37.9458770751953	80.9672927856445	-90.9914474487305	37.4550132751465	77.1943435668945	-200.419677734375	388.071228027344	-239.380432128906	-327.071044921875	-123.749626159668	361.270202636719	-123.643013000488
-1277.23156738281	-38889.28515625	-85.3598022460938	72.3768997192383	-90.1119689941406	98.6657333374023	50.7969856262207	-197.646774291992	434.999816894531	-260.651824951172	-321.741394042969	-130.872985839844	369.459930419922	-55.538143157959
-5067.9375	-65000.8984375	-78.6219100952148	31.774486541748	-119.628692626953	131.902114868164	37.7070121765137	-205.538803100586	394.826385498047	-287.655120849609	-356.694793701172	-110.750633239746	346.066040039062	-15.895866394043
-4898.5	-66683.359375	-105.346305847168	-4.23865461349487	-169.87614440918	125.00358581543	-4.44427108764648	-225.437286376953	380.919250488281	-297.938934326172	-371.282470703125	-79.3209381103516	276.857177734375	52.0082588195801
-5859.09619140625	-63939.14453125	-143.251998901367	-9.36501312255859	-223.229354858398	139.598114013672	-22.8185958862305	-224.237518310547	382.822937011719	-316.205078125	-371.944152832031	-44.199031829834	239.896667480469	108.240386962891
-7457.21044921875	-95396.09375	-151.034591674805	-42.3917350769043	-282.027709960938	152.114898681641	-45.2001762390137	-254.569763183594	374.665344238281	-364.256286621094	-410.083465576172	-14.2709074020386	155.425567626953	149.810836791992
-10099.576171875	-124999.828125	-169.717697143555	-70.5196228027344	-337.708099365234	167.765106201172	-73.2503890991211	-279.341796875	372.223083496094	-345.347351074219	-380.523376464844	3.43884205818176	82.4674377441406	223.68212890625
-12792.583984375	-119428.578125	-184.55744934082	-65.4141159057617	-365.770721435547	142.882476806641	-92.018798828125	-287.774993896484	349.118286132812	-319.374267578125	-406.750366210938	-25.7180194854736	-3.60701131820679	247.520202636719
2507.17822265625	-87329.9609375	-204.083404541016	-83.3893585205078	-427.744567871094	162.870040893555	-97.245491027832	-269.494018554688	314.165069580078	-365.926818847656	-433.730377197266	-29.7887287139893	-119.261070251465	284.321350097656
7384.3232421875	-37519.83984375	-238.290863037109	-76.9443054199219	-482.004760742188	206.736434936523	-106.866638183594	-292.309051513672	311.924926757812	-381.556457519531	-427.113952636719	-35.3622741699219	-158.614547729492	332.268920898438
836.535949707031	8401.9716796875	-239.744720458984	-78.6399917602539	-477.458862304688	215.759124755859	-122.055053710938	-374.71435546875	268.521026611328	-382.853881835938	-452.042144775391	-74.7739562988281	-214.301681518555	380.083953857422
8890.3935546875	36025.19921875	-213.678436279297	-128.176910400391	-486.718353271484	276.990447998047	-113.059837341309	-372.418243408203	192.913970947266	-381.890197753906	-417.196319580078	-89.170783996582	-299.535400390625	446.441162109375
7524.50146484375	51549.08984375	-217.284790039062	-117.296203613281	-488.519439697266	310.229034423828	-111.866592407227	-391.279541015625	192.303344726562	-353.647888183594	-409.968902587891	-142.74382019043	-324.3642578125	533.165771484375
-1252.78442382812	55158.67578125	-227.718368530273	-105.766647338867	-437.815582275391	288.20703125	-101.07315826416	-422.258361816406	175.869506835938	-336.866577148438	-412.617706298828	-175.163726806641	-340.040374755859	645.188781738281
-15008.9326171875	44052.609375	-211.984802246094	-116.664131164551	-358.366149902344	312.828979492188	-86.0854110717773	-379.729064941406	126.699928283691	-299.930023193359	-386.733062744141	-198.321243286133	-366.314300537109	687.579711914062
-25911.953125	20574.818359375	-194.607971191406	-128.360107421875	-300.660858154297	332.474609375	-99.5064468383789	-422.167755126953	114.12126159668	-286.00537109375	-395.529541015625	-238.324615478516	-395.734405517578	752.367736816406
-8502.3681640625	-3370.5078125	-156.093963623047	-124.862426757812	-219.831344604492	336.343475341797	-72.7408218383789	-428.788299560547	104.328453063965	-283.943542480469	-385.289703369141	-233.050445556641	-427.536193847656	869.160522460938
19222.55859375	-10152.0341796875	-107.911491394043	-88.3985748291016	-147.007141113281	351.277191162109	-47.0187072753906	-365.606353759766	71.0565948486328	-235.435180664062	-371.891662597656	-227.820281982422	-438.427093505859	935.244018554688
30845.810546875	1883.94641113281	-94.1121978759766	-104.169555664062	-109.806846618652	363.272735595703	-66.3364410400391	-353.059143066406	34.0016098022461	-201.816955566406	-386.834930419922	-212.127212524414	-489.774780273438	972.680236816406
21278.14453125	28154.826171875	-27.6691226959229	-71.4336318969727	-69.8661956787109	381.182830810547	-57.998176574707	-360.876525878906	31.7060661315918	-180.02262878418	-396.731262207031	-219.461074829102	-502.105895996094	982.512939453125
-4968.87548828125	58983.671875	67.0500030517578	-21.2732257843018	-84.8903274536133	394.033538818359	-39.5580711364746	-369.383483886719	41.690559387207	-168.809143066406	-379.545959472656	-216.194717407227	-503.158386230469	994.1171875
-37356.91015625	83502.9453125	72.017204284668	-34.4837417602539	-112.93798828125	400.853912353516	-32.3425369262695	-354.566314697266	20.135274887085	-135.545623779297	-368.246063232422	-205.568572998047	-576.785949707031	1004.65679931641
-51203.28515625	89822.03125	97.8193588256836	16.7138137817383	-128.544372558594	387.844116210938	-22.4014339447021	-316.741180419922	21.9190921783447	-77.6932373046875	-382.501556396484	-228.926162719727	-576.148559570312	987.154846191406
-37865.1640625	69044	133.91764831543	66.8115081787109	-165.717697143555	376.241882324219	-14.4683647155762	-293.501586914062	23.7571811676025	-74.0624465942383	-365.137664794922	-214.314514160156	-574.326171875	977.914978027344
-22000.703125	19743.279296875	44.0517501831055	63.7029418945312	-178.546188354492	377.8798828125	-34.7373809814453	-277.061340332031	20.1747512817383	-49.5604705810547	-373.928100585938	-251.562088012695	-556.638000488281	963.0810546875
-6349.119140625	-71235.625	-86.1415863037109	92.5002136230469	-183.177536010742	405.233062744141	-19.0374412536621	-196.998474121094	26.5833854675293	-3.67945408821106	-387.622375488281	-243.005905151367	-481.004364013672	927.37353515625
27162.78515625	-186361.53125	-243.266067504883	112.584777832031	-196.099502563477	405.199310302734	7.05370712280273	-178.086532592773	-45.7048377990723	12.9210662841797	-385.318084716797	-152.947128295898	-455.192626953125	882.463806152344
71642.9921875	-345906.3125	-472.061370849609	141.432907104492	-169.234939575195	366.478576660156	-48.8410530090332	-186.990463256836	-70.8978271484375	12.9818725585938	-384.6787109375	-165.201858520508	-384.060943603516	821.060974121094
108402.8515625	-498563.15625	-706.963745117188	204.222885131836	-140.716659545898	382.294738769531	-57.4492988586426	-128.437072753906	-71.2551803588867	7.39014911651611	-354.388549804688	-140.395477294922	-329.274658203125	776.131958007812
125614.1171875	-528914.25	-918.362854003906	210.452514648438	-135.213485717773	354.9697265625	-63.4075355529785	-113.874534606934	-107.528503417969	23.9996566772461	-315.325317382812	-94.3043365478516	-280.288726806641	740.074584960938
134796.09375	-519585.84375	-1044.68688964844	239.545028686523	-122.944282531738	313.826232910156	-94.2376327514648	-120.66381072998	-115.494438171387	54.1710014343262	-258.654815673828	-114.377342224121	-205.652923583984	678.971313476562
159762.03125	-525794.25	-1135.54724121094	272.354339599609	-99.0254364013672	328.380676269531	-95.6147079467773	-119.830284118652	-153.157974243164	32.8166847229004	-255.778549194336	-124.247093200684	-180.688537597656	615.42724609375
199113.25	-522608.625	-1226.37023925781	232.801193237305	-51.5900344848633	310.972839355469	-118.090042114258	-58.5289993286133	-172.231155395508	-10.1817464828491	-229.480010986328	-151.849945068359	-111.147415161133	560.050537109375
258051.109375	-524272.40625	-1219.02075195312	250.594467163086	-27.7901268005371	312.927551269531	-129.430969238281	-36.9536628723145	-205.076583862305	15.529637336731	-169.618072509766	-145.426422119141	-94.1250381469727	497.803863525391
328798.15625	-523925.625	-1180.83642578125	318.732543945312	-28.0686950683594	312.430450439453	-142.589096069336	-61.1068496704102	-207.21484375	-12.7293405532837	-135.006927490234	-146.461196899414	-115.043746948242	432.917114257812
407157.625	-523907.15625	-1111.46838378906	339.031707763672	-21.3921279907227	302.751953125	-129.31037902832	-33.618766784668	-165.026733398438	-52.8753242492676	-79.2829742431641	-186.720932006836	-81.4994888305664	382.542663574219
490332.65625	-523336.875	-1039.47900390625	347.813262939453	-52.3912010192871	313.752105712891	-115.219024658203	-48.6688957214355	-177.475982666016	-67.8929061889648	-89.7937469482422	-165.611068725586	-52.0196990966797	315.66552734375
521176.6875	-525422.0625	-972.486022949219	376.4462890625	-101.211074829102	315.420623779297	-138.153686523438	-43.3178558349609	-152.624084472656	-102.558448791504	-79.8099060058594	-131.425521850586	-43.576343536377	258.78466796875
515854.40625	-521566.25	-793.535095214844	389.977447509766	-169.522232055664	313.639343261719	-133.480270385742	-30.0302257537842	-148.928833007812	-78.7087173461914	-33.5003204345703	-127.567695617676	-45.5387649536133	203.413619995117
518415.6875	-526727.125	-640.212463378906	405.949676513672	-275.44140625	278.491729736328	-98.4909057617188	-19.2560729980469	-153.401550292969	-89.4039001464844	-40.80078125	-123.604606628418	-15.0784587860107	118.43643951416
517292.84375	-521707.46875	-479.568298339844	433.006134033203	-334.682739257812	269.031188964844	-71.694221496582	-4.75178194046021	-103.328437805176	-137.835327148438	-40.5438995361328	-110.794219970703	-33.4101333618164	54.5135040283203
517477.9375	-524084.1875	-292.916320800781	434.102447509766	-390.253112792969	279.746734619141	-88.7394866943359	-14.0308151245117	-97.5434112548828	-152.273376464844	-37.3769760131836	-99.4610214233398	-41.1498680114746	-7.82765054702759
517806	-527123.1875	-181.548522949219	395.407165527344	-446.248748779297	255.058898925781	-101.611381530762	10.8863620758057	-60.4258689880371	-147.193283081055	-23.2329540252686	-90.7577133178711	-22.8844146728516	-69.6721115112305
517187.71875	-515238.90625	-135.862594604492	380.909515380859	-433.7861328125	241.712066650391	-62.7660675048828	18.2143230438232	-8.61051177978516	-161.319427490234	-33.4667167663574	-71.7823181152344	-38.4145545959473	-127.418876647949
517764.5625	-538467.125	-1030.73852539062	376.782806396484	-447.984710693359	223.627975463867	-58.8785057067871	20.9549961090088	15.0166883468628	-174.334259033203	-39.309497833252	-58.2580070495605	-22.7967510223389	-185.274505615234
517260.53125	-500330.71875	-2754.908203125	306.0830078125	-419.294738769531	206.382202148438	-89.9076919555664	31.3350734710693	36.7108612060547	-162.640441894531	-7.90819644927979	-52.2636833190918	-50.9216766357422	-240.462844848633
517559.4375	-561550.75	-6039.22607421875	301.311431884766	-361.383819580078	214.792770385742	-86.3772811889648	32.0681838989258	43.2958145141602	-168.217834472656	-35.0876808166504	-19.1857128143311	-101.022018432617	-293.622131347656
517415	-334844.28125	-12630.412109375	247.446899414062	-319.907348632812	168.659393310547	-83.081787109375	38.0851516723633	97.707405090332	-177.74430847168	-45.5774765014648	23.7205829620361	-134.73811340332	-341.456512451172
517396.375	343838.375	-15831.6865234375	183.478393554688	-200.740371704102	132.327056884766	-76.0939483642578	27.7974300384521	128.312759399414	-161.544738769531	-55.9949340820312	13.2867021560669	-146.736968994141	-392.443023681641
517419.25	560215.4375	-14687.72265625	167.336120605469	-156.798919677734	145.47265625	-62.2527389526367	37.2035903930664	119.471061706543	-125.720085144043	-103.960403442383	38.925048828125	-127.365432739258	-390.555419921875
517296.46875	500692.71875	-22537.263671875	55.3567314147949	-153.733169555664	96.3995819091797	-69.0560073852539	60.9703674316406	140.793914794922	-125.167793273926	-86.7890472412109	84.0795211791992	-142.507736206055	-396.918609619141
