36.00
10/Sep/2025	14:53:39	8000
2.00	36.00

Channel 1	Channel 2	Channel 3	Channel 4	Channel 5	Channel 6	Channel 7	Channel 8	Channel 9	Channel 10	Channel 11	Channel 12	Channel 13	Channel 14	Channel 15	Channel 16	Channel 17	Channel 18	Channel 19	Channel 20	Channel 21	Channel 22
20.1230163574219	211.897064208984	7.32041883468628	438.813293457031	310.742889404297	493.447479248047	315.944488525391	-687.250549316406	57.454402923584	-479.916595458984	29.0093421936035	515.215393066406	223.825973510742	-52.2783813476562	105.073890686035	179.934143066406	95.9008560180664	60.6491775512695	-115.531951904297	56.3251190185547	-2.10290002822876	106.855575561523
53.6970176696777	369.343139648438	0.892806231975555	387.007385253906	268.349304199219	492.652893066406	326.022186279297	-700.220581054688	47.5068435668945	-505.191009521484	24.4463481903076	477.011383056641	221.749649047852	-95.8688888549805	160.400238037109	148.71452331543	89.4917373657227	59.2178077697754	-88.1516799926758	-50.0003700256348	-39.0732383728027	156.229919433594
84.0318832397461	-1301.66320800781	-24.8015766143799	347.447601318359	234.942504882812	499.566314697266	337.11181640625	-705.644470214844	63.7893867492676	-496.945159912109	17.1423397064209	425.378356933594	207.107070922852	-154.988006591797	226.82014465332	149.359558105469	36.9477272033691	61.1461448669434	-71.2432098388672	-127.849456787109	-82.5866470336914	170.471481323242
159.657318115234	-2991.01196289062	2.36198163032532	329.272796630859	232.035079956055	468.7529296875	389.470977783203	-700.300659179688	86.1393966674805	-467.497924804688	-9.00960159301758	417.274291992188	175.466247558594	-130.305603027344	275.530883789062	162.53125	-27.010555267334	35.5275421142578	-99.4691314697266	-167.199798583984	-143.441909790039	180.713165283203
103.885093688965	1209.39038085938	36.6937103271484	262.177856445312	168.348968505859	440.854187011719	389.859954833984	-660.583435058594	47.824104309082	-483.611022949219	-5.98315954208374	354.905151367188	176.185195922852	-81.4775619506836	302.282012939453	125.663070678711	-70.5957565307617	51.1335906982422	-73.8682708740234	-214.577606201172	-169.675033569336	205.32502746582
136.049362182617	9475.32421875	30.742826461792	234.169555664062	162.494918823242	445.627685546875	381.151580810547	-669.971801757812	57.2605781555176	-476.059234619141	-26.6503276824951	249.024932861328	156.873291015625	-54.6010131835938	340.835357666016	119.53059387207	-215.7841796875	68.478141784668	-40.3691749572754	-182.968063354492	-217.93586730957	224.96809387207
65.8706588745117	13809.029296875	35.5141983032227	227.341384887695	158.868865966797	456.872924804688	359.691009521484	-667.4140625	93.4874877929688	-467.902069091797	-33.1207504272461	137.335159301758	166.738784790039	-5.66728448867798	315.933166503906	142.575149536133	-379.526306152344	43.6581954956055	-9.07236671447754	-110.08576965332	-275.144866943359	241.080047607422
-85.5107421875	11993.4912109375	15.9736633300781	214.805603027344	123.687469482422	488.792694091797	306.183135986328	-692.638305664062	61.8813972473145	-485.792144775391	-36.2208557128906	26.6142654418945	164.095474243164	19.4564571380615	303.849945068359	107.051658630371	-474.443176269531	39.7189865112305	35.4936981201172	-89.8528747558594	-333.713653564453	215.529998779297
137.118453979492	6794.4501953125	17.2131977081299	197.342849731445	118.437294006348	536.124267578125	251.059829711914	-707.008422851562	72.3598937988281	-447.916687011719	-32.8297805786133	-80.9410552978516	124.501495361328	5.8758397102356	305.584289550781	118.410575866699	-597.987121582031	42.268856048584	48.08154296875	-51.7938346862793	-388.910186767578	218.531234741211
-374.161956787109	1797.16467285156	40.1310081481934	198.018188476562	112.35018157959	583.387084960938	226.965225219727	-696.282043457031	77.6188812255859	-399.718841552734	3.05647277832031	-182.284286499023	152.217880249023	10.068413734436	242.243713378906	140.634002685547	-669.435302734375	26.044994354248	82.428352355957	3.1517128944397	-435.430847167969	218.307144165039
406.387817382812	12663.94921875	45.436092376709	180.924758911133	105.601356506348	621.980529785156	220.614074707031	-709.208251953125	65.3053817749023	-385.675231933594	12.8025884628296	-243.470520019531	168.902816772461	29.3080406188965	182.460754394531	121.587966918945	-707.925537109375	-0.847677648067474	132.293411254883	10.505087852478	-507.832641601562	198.753112792969
-649.321899414062	33837.3515625	54.4946556091309	140.095275878906	104.981163024902	649.239013671875	219.618804931641	-695.981018066406	104.52880859375	-373.290740966797	24.9816608428955	-278.343048095703	170.450088500977	41.782413482666	148.574356079102	131.242950439453	-711.568969726562	20.3957557678223	139.23811340332	-0.882354199886322	-610.791381835938	180.78369140625
-4685.5849609375	25463.109375	42.0983505249023	134.972564697266	82.6553497314453	650.397277832031	206.878234863281	-696.264831542969	107.281066894531	-346.289520263672	40.023624420166	-290.776641845703	180.565719604492	40.4127349853516	162.513885498047	135.815628051758	-582.302734375	40.8635787963867	161.200622558594	-38.1563911437988	-663.349975585938	131.267807006836
-7729.04052734375	-6115.486328125	56.7453308105469	114.286766052246	68.4898834228516	672.842163085938	213.189147949219	-659.336303710938	113.184326171875	-324.723754882812	72.8855514526367	-256.812469482422	176.295623779297	25.9685726165771	126.71556854248	131.280670166016	-459.133636474609	36.4311180114746	186.965240478516	-105.478057861328	-690.90869140625	102.210411071777
-11057.9521484375	-15689.146484375	93.434326171875	67.7196807861328	129.087188720703	676.212524414062	240.335693359375	-634.833923339844	136.773284912109	-318.998260498047	82.4682922363281	-233.525268554688	192.313705444336	22.2256336212158	91.7444381713867	131.153518676758	-334.103546142578	73.5649948120117	190.393753051758	-183.171676635742	-768.222961425781	96.3716354370117
-38333.71875	-8350.5810546875	98.2625579833984	17.6108741760254	129.292053222656	652.653198242188	262.275329589844	-625.474548339844	131.153244018555	-321.764984130859	67.2310180664062	-212.310165405273	163.159515380859	69.7973480224609	142.344924926758	126.137260437012	-90.3408966064453	80.4939498901367	217.479934692383	-274.146942138672	-763.157043457031	91.8016967773438
-84588.546875	-2514.19995117188	96.0432357788086	0.704201757907867	82.9273910522461	686.970642089844	279.320861816406	-597.209106445312	140.542617797852	-310.784606933594	95.9782943725586	-159.575012207031	138.264556884766	137.640045166016	141.529434204102	125.709686279297	120.19539642334	81.3623733520508	216.227661132812	-378.452819824219	-727.935791015625	92.8442916870117
-70940.1953125	7520.95263671875	145.426483154297	-2.20467400550842	118.199829101562	707.246948242188	285.074249267578	-589.712097167969	160.455596923828	-302.970977783203	117.032501220703	-70.7284164428711	129.869857788086	179.429046630859	126.003677368164	107.996803283691	298.492156982422	116.644371032715	220.557052612305	-463.292877197266	-689.349487304688	104.03441619873
-50365.640625	-6410.21484375	194.827133178711	-4.15069055557251	150.962066650391	681.952392578125	285.643035888672	-591.612182617188	186.492797851562	-315.382049560547	113.618408203125	47.3965492248535	87.7266464233398	245.362411499023	133.712890625	130.25830078125	521.048522949219	115.774276733398	239.019744873047	-498.510925292969	-608.787231445312	92.0533981323242
-93050.2734375	-49258.890625	250.970840454102	17.0609302520752	162.853149414062	665.752197265625	272.076721191406	-619.200378417969	185.884506225586	-332.581604003906	142.794815063477	132.052261352539	77.0182189941406	284.882476806641	140.762084960938	144.937866210938	635.823181152344	97.0994338989258	219.487457275391	-526.52197265625	-557.938903808594	96.3614654541016
-114563.6796875	-79800.8671875	318.741424560547	26.0554237365723	158.257369995117	673.060241699219	264.01171875	-660.419555664062	179.204666137695	-372.192352294922	181.951278686523	215.279403686523	63.115104675293	274.511322021484	140.73779296875	123.276550292969	689.162048339844	105.348297119141	208.090972900391	-506.197326660156	-428.740966796875	145.783889770508
-103034.703125	-94155.21875	331.177307128906	41.4265289306641	177.01091003418	649.092712402344	244.4599609375	-702.96337890625	208.002792358398	-404.918731689453	178.224960327148	361.628173828125	49.6016540527344	273.483245849609	114.969146728516	120.590682983398	753.74853515625	95.1487197875977	199.74153137207	-399.813293457031	-287.150146484375	168.102661132812
-44442.07421875	-99265.203125	338.770660400391	88.436279296875	207.34553527832	587.062805175781	201.001602172852	-720.954833984375	202.345123291016	-422.041320800781	164.95524597168	505.094268798828	47.2898101806641	253.919036865234	93.8363647460938	119.459579467773	749.247314453125	73.2911682128906	190.498443603516	-267.73388671875	-219.738616943359	197.239456176758
49854.85546875	-91176.359375	293.795440673828	101.285652160645	147.600051879883	530.665466308594	187.959655761719	-740.614379882812	175.211013793945	-460.504241943359	169.453948974609	570.369995117188	45.4712448120117	206.805740356445	88.448356628418	122.923934936523	749.763427734375	85.1252288818359	168.894088745117	-192.315155029297	-101.411521911621	234.667785644531
74762.25	-69869.703125	239.26203918457	133.920120239258	43.0485191345215	487.047180175781	174.246017456055	-771.0048828125	165.889434814453	-454.292144775391	174.210861206055	603.715393066406	56.1420707702637	203.278518676758	122.608749389648	93.8710708618164	717.261352539062	61.1874122619629	177.838363647461	-99.5457153320312	13.5253171920776	254.139251708984
41343.05859375	-35199.16796875	157.901947021484	186.989501953125	2.4254629611969	457.106567382812	142.743621826172	-815.839416503906	148.532501220703	-453.824554443359	141.157684326172	660.076354980469	57.3071365356445	196.393615722656	154.718215942383	82.4539489746094	641.023559570312	50.1011505126953	186.696441650391	86.0681686401367	61.8310470581055	291.711761474609
