trace,source,receiver,offset,cmp,file,shot
1,8.0,1.0,1.0,8.0,3025.dat,3025
2,8.0,1.0,1.0,8.0,3026.dat,3026
3,8.0,3.0,3.0,8.0,3026.dat,3026
4,8.0,3.0,3.0,8.0,3027.dat,3027
5,8.0,5.0,5.0,8.0,3026.dat,3026
6,8.0,5.0,5.0,8.0,3027.dat,3027
7,8.0,7.0,7.0,8.0,3027.dat,3027
8,8.0,7.0,7.0,8.0,3028.dat,3028
9,8.0,9.0,9.0,8.0,3027.dat,3027
10,8.0,9.0,9.0,8.0,3028.dat,3028
11,8.0,11.0,11.0,8.0,3028.dat,3028
12,8.0,11.0,11.0,8.0,3029.dat,3029
13,8.0,13.0,13.0,8.0,3028.dat,3028
14,8.0,13.0,13.0,8.0,3029.dat,3029
15,8.0,15.0,15.0,8.0,3029.dat,3029
16,8.0,15.0,15.0,8.0,3030.dat,3030
17,8.0,17.0,17.0,8.0,3029.dat,3029
18,8.0,17.0,17.0,8.0,3030.dat,3030
19,8.0,19.0,19.0,8.0,3030.dat,3030
20,8.0,21.0,21.0,8.0,3030.dat,3030
