24.00
10/Sep/2025	14:53:39	8000
2.00	24.00

Channel 1	Channel 2	Channel 3	Channel 4	Channel 5	Channel 6	Channel 7	Channel 8	Channel 9	Channel 10	Channel 11	Channel 12	Channel 13	Channel 14	Channel 15	Channel 16	Channel 17	Channel 18	Channel 19	Channel 20	Channel 21	Channel 22	Channel 23	Channel 24	Channel 25	Channel 26	Channel 27	Channel 28	Channel 29	Channel 30	Channel 31	Channel 32	Channel 33	Channel 34	Channel 35	Channel 36	Channel 37	Channel 38	Channel 39	Channel 40	Channel 41	Channel 42	Channel 43	Channel 44	Channel 45	Channel 46
21.2410335540771	-48.3134460449219	-434.849700927734	-212.291397094727	-134.147354125977	-0.715136706829071	-331.239959716797	-511.519653320312	368.692352294922	-144.042617797852	-151.63362121582	-110.983024597168	131.157409667969	-208.496368408203	-89.1814270019531	87.3871688842773	-221.588821411133	-2.12582802772522	-467.074188232422	87.9970245361328	-76.4986877441406	22.848316192627	50.7584419250488	-108.749359130859	114.31031036377	-201.586486816406	-315.502655029297	-103.373435974121	-59.3874549865723	182.269927978516	400.757690429688	153.933364868164	172.939315795898	2.49960684776306	291.647308349609	-27.3388786315918	-153.732635498047	244.814468383789	17.6723575592041	-186.493133544922	1672.88122558594	44.9166641235352	425.375823974609	437.520111083984	-809.76025390625	69.0406112670898
157.60417175293	-390.519012451172	-435.134002685547	-227.541213989258	-140.195922851562	-0.599427878856659	-318.631072998047	-493.804260253906	325.751708984375	-148.444763183594	-186.463500976562	-85.3055038452148	126.404541015625	-261.191558837891	-113.233169555664	58.1581039428711	-283.697418212891	2.59075117111206	-472.063934326172	85.2359848022461	-103.878486633301	-4.52103185653687	-4.94732856750488	-114.178733825684	120.233757019043	-198.531539916992	-339.751708984375	-146.08171081543	-70.49951171875	174.565048217773	436.555450439453	127.783256530762	192.693939208984	94.4683609008789	342.378967285156	14.2334041595459	-191.519577026367	217.399063110352	-17.4334621429443	-157.174346923828	1647.70288085938	21.2533359527588	405.694854736328	554.399841308594	-957.230712890625	79.6862945556641
87.7823638916016	-1820.91223144531	-411.762542724609	-282.278503417969	-123.872184753418	9.44609546661377	-337.270294189453	-453.088165283203	300.822967529297	-164.956741333008	-221.139953613281	-73.4745483398438	83.1322708129883	-331.712371826172	-130.251647949219	49.6102676391602	-295.665649414062	27.1790046691895	-466.013702392578	88.6795349121094	-199.517288208008	-63.388256072998	-24.6988620758057	-118.759651184082	118.910858154297	-202.187377929688	-353.229400634766	-183.39079284668	-89.4414901733398	150.119537353516	455.564697265625	144.734893798828	190.307037353516	200.410430908203	380.292877197266	58.5110816955566	-211.40022277832	161.790618896484	-53.040340423584	-140.19938659668	1640.98059082031	21.2700824737549	414.136627197266	659.515625	-1080.19604492188	91.6817474365234
113.106552124023	-1143.1025390625	-402.28759765625	-363.25341796875	-127.06421661377	55.7629127502441	-335.06396484375	-469.888824462891	243.89485168457	-168.307601928711	-198.313491821289	-98.8602142333984	80.2202453613281	-352.8212890625	-156.871063232422	43.7413635253906	-354.721649169922	3.22971439361572	-431.606170654297	129.21337890625	-271.563049316406	-73.4484710693359	-8.07377243041992	-70.3547439575195	118.294288635254	-218.401763916016	-346.368438720703	-174.223907470703	-90.8353958129883	148.583190917969	450.098876953125	198.517501831055	192.390899658203	314.953125	417.349060058594	93.0382308959961	-240.437362670898	156.68962097168	-31.1855411529541	-121.138404846191	1531.99719238281	20.097038269043	388.099426269531	718.370666503906	-1195.56982421875	110.240577697754
391.620056152344	3497.92333984375	-395.91943359375	-359.245330810547	-90.5895233154297	126.548721313477	-363.141845703125	-477.906066894531	193.171081542969	-167.713226318359	-197.095809936523	-120.851638793945	77.3947067260742	-320.718200683594	-167.744247436523	20.3804016113281	-383.907745361328	-25.0063552856445	-480.339538574219	141.310256958008	-313.397918701172	-81.9978485107422	-52.7074928283691	-72.0662384033203	138.997772216797	-214.604095458984	-393.820831298828	-193.938446044922	-105.589317321777	125.918495178223	450.369842529297	157.854263305664	219.09001159668	377.310638427734	387.772369384766	95.7566070556641	-251.623092651367	140.07389831543	-44.0823822021484	-106.753318786621	1393.76452636719	-9.52222347259521	327.988525390625	733.253540039062	-1290.59753417969	122.857437133789
-2631.09521484375	7619.83349609375	-396.0458984375	-344.796264648438	-68.1767501831055	155.621490478516	-430.961029052734	-484.594512939453	117.327133178711	-181.22932434082	-210.667266845703	-116.919784545898	63.1984062194824	-287.830932617188	-129.1865234375	25.1882991790771	-385.165679931641	-40.4096794128418	-479.925079345703	136.343170166016	-325.426452636719	-63.5680465698242	-55.3521537780762	-77.9322738647461	137.934127807617	-185.987869262695	-384.960815429688	-192.196624755859	-125.28141784668	108.930564880371	474.381530761719	137.414154052734	225.971252441406	416.723785400391	362.051239013672	61.6456413269043	-221.762313842773	133.770278930664	-24.6500492095947	-114.833015441895	1230.27551269531	-9.18515968322754	274.789093017578	731.019226074219	-1341.5029296875	121.947532653809
-5302.697265625	6897.58984375	-371.940063476562	-325.040985107422	-107.320358276367	191.13427734375	-434.546081542969	-491.103332519531	27.4559288024902	-175.91731262207	-220.057022094727	-151.610885620117	59.3148765563965	-232.2626953125	-122.048980712891	18.762638092041	-396.070251464844	-59.1974296569824	-451.080505371094	168.43815612793	-306.351318359375	-88.8678665161133	6.94658327102661	-109.123970031738	137.969589233398	-201.555740356445	-356.378875732422	-210.571441650391	-122.702484130859	90.8868942260742	486.685455322266	161.163757324219	203.862060546875	441.331573486328	335.235809326172	32.2518310546875	-197.979675292969	153.003616333008	-7.73098087310791	-99.4319534301758	1053.75061035156	17.3841361999512	211.129974365234	691.659790039062	-1346.81530761719	147.965850830078
-10372.9462890625	4517.00048828125	-355.788635253906	-305.423034667969	-95.4483871459961	206.013549804688	-444.533386230469	-488.451080322266	-18.1356067657471	-190.433609008789	-212.5107421875	-151.348907470703	33.9627075195312	-172.152435302734	-119.434272766113	-21.2632350921631	-362.681030273438	-71.1393280029297	-484.422149658203	171.376556396484	-279.643768310547	-149.734359741211	-26.4777126312256	-126.305442810059	161.746978759766	-207.306365966797	-387.861633300781	-228.738845825195	-129.822341918945	50.6531867980957	478.026947021484	140.785568237305	197.63313293457	433.468200683594	304.408111572266	30.4640617370605	-169.470947265625	175.743957519531	-16.1457939147949	-137.666854858398	876.180053710938	24.0409564971924	157.66325378418	690.69873046875	-1306.54956054688	164.064331054688
-25457.80078125	5656.912109375	-377.100769042969	-289.902923583984	-95.419303894043	172.831344604492	-477.566223144531	-483.360595703125	-64.7763214111328	-195.483123779297	-220.577270507812	-124.736511230469	26.0125846862793	-110.352210998535	-135.009765625	-51.7572326660156	-354.717376708984	-79.365478515625	-508.387908935547	179.827407836914	-224.155776977539	-127.408935546875	-52.728832244873	-130.410430908203	171.321990966797	-194.535919189453	-346.677154541016	-211.526306152344	-123.081665039062	35.5428276062012	475.654754638672	102.358726501465	203.659057617188	348.013671875	317.305999755859	8.4075403213501	-65.5039443969727	198.50422668457	20.5205039978027	-175.918869018555	619.861938476562	50.1083831787109	109.51383972168	673.866516113281	-1246.4892578125	148.120529174805
-43052.80078125	20619.638671875	-334.143371582031	-264.745452880859	-89.1802597045898	169.369323730469	-459.036651611328	-463.696136474609	-125.116287231445	-173.211990356445	-243.802581787109	-155.2900390625	24.0907745361328	-32.9457244873047	-149.634979248047	-74.059211730957	-362.998260498047	-121.996627807617	-478.068634033203	175.173156738281	-194.378616333008	-132.166168212891	-20.6285419464111	-172.878890991211	152.098892211914	-166.854354858398	-336.352233886719	-209.122131347656	-117.667594909668	43.8400268554688	490.439544677734	50.9180221557617	225.537002563477	310.543518066406	253.945831298828	-15.7313251495361	16.0167655944824	203.046340942383	54.1337127685547	-199.236343383789	401.409332275391	64.2656173706055	51.5448379516602	666.848449707031	-1192.521484375	138.036758422852
-49666.30078125	34623.73828125	-310.913543701172	-202.724166870117	-97.5168991088867	161.169998168945	-413.83349609375	-468.830871582031	-171.97737121582	-170.164260864258	-253.324783325195	-158.125122070312	-22.3407878875732	-20.8905048370361	-166.233108520508	-99.520393371582	-324.016265869141	-132.88346862793	-488.362640380859	149.88525390625	-189.897430419922	-158.755020141602	-52.6185646057129	-190.923034667969	159.715881347656	-162.735870361328	-320.002075195312	-203.557540893555	-116.504249572754	61.4834175109863	526.515441894531	39.253475189209	225.661331176758	349.463653564453	199.146011352539	-1.55305171012878	78.751106262207	198.21125793457	84.0615844726562	-233.086181640625	174.1171875	65.0982666015625	-21.1518859863281	675.72412109375	-1100.77575683594	162.916275024414
