0.00
10/Sep/2025	14:53:39	8000
2.00	0.00

Channel 1	Channel 2	Channel 3	Channel 4
-19377.876953125	-424.728485107422	652.021057128906	-328.428833007812
-27783.568359375	-376.468109130859	722.6220703125	-333.999603271484
-33117.171875	-348.053436279297	754.799987792969	-338.523681640625
-29300.365234375	-309.049957275391	755.52294921875	-315.09375
-33906.20703125	-365.774047851562	785.992980957031	-302.763061523438
-45386.82421875	-430.640411376953	786.430786132812	-260.251892089844
-53636.33984375	-485.681243896484	769.555603027344	-221.638198852539
-56201.2421875	-529.474426269531	755.580932617188	-211.129302978516
-40606.515625	-641.316345214844	694.348754882812	-159.923706054688
-19844.650390625	-735.826843261719	635.301086425781	-134.841171264648
7343.88037109375	-527.865295410156	579.527770996094	-122.041259765625
40363.91015625	-339.694488525391	502.169647216797	-78.4987106323242
67413.9453125	-2836.58959960938	430.725891113281	-98.1437530517578
89162.4609375	-11442.2607421875	336.974548339844	-71.2765960693359
95306.1953125	-19602.48828125	237.105407714844	-14.2207479476929
118105.6328125	-23574.88671875	179.523193359375	-24.5535411834717
174550.328125	-27695.33984375	134.032730102539	10.8490285873413
317514	-27539.90625	87.1942138671875	29.5602378845215
491060.6875	-27181.640625	72.9699325561523	47.2212142944336
527887.375	-28607.41015625	73.2095413208008	61.8409271240234
515669.8125	-25237.4609375	53.5647201538086	62.9379730224609
523591	-22548.6484375	64.2184600830078	97.7698211669922
519171.6875	-18339.658203125	107.705993652344	81.8898391723633
522289.28125	-11523.0361328125	106.46329498291	74.1664352416992
520245.375	-8644.40234375	113.845909118652	43.7966423034668
522217.21875	-7568.064453125	148.952667236328	14.7527599334717
519715.125	-8186.62744140625	151.213806152344	19.705207824707
522458.84375	-10249.623046875	151.052825927734	-0.120899498462677
520574.75	-10070.2197265625	138.436981201172	27.2077503204346
519463.375	-9293.1474609375	121.720085144043	19.5703201293945
525946.625	-8767.4296875	138.052993774414	-14.0198087692261
512012.46875	-5165.3759765625	153.096740722656	26.3207015991211
533971.5	13.1245918273926	150.941925048828	38.2520370483398
505567.53125	6331.93408203125	153.72868347168	14.0324010848999
535240.8125	15003.5537109375	163.370025634766	23.9348526000977
512641.9375	22933.81640625	178.862609863281	48.840705871582
513521.28125	30618.4765625	212.693237304688	69.8505935668945
561526.6875	37620.9609375	260.165161132812	40.8770599365234
-99107.3984375	41886.73828125	322.442230224609	9.84130477905273
-598346.5625	46160.0390625	351.392791748047	39.9916725158691
-487500.03125	51406.77734375	363.402801513672	-23.0814685821533
-532503.1875	58290.09765625	409.369323730469	-82.3307189941406
-521433.75	68121.59375	440.828918457031	-51.3834495544434
-513439.75	79331.921875	409.130950927734	-94.3194198608398
-530384.0625	91665.75	371.5048828125	-125.470001220703
-511739.75	107217.7109375	397.161407470703	-139.58512878418
-527460.8125	125948.6328125	394.653198242188	-144.035385131836
-516842.65625	144801.59375	339.417938232422	-121.046096801758
-522178.71875	171014.078125	292.574645996094	-100.110137939453
-521000.0625	204032.671875	234.373016357422	-49.4999885559082
-519697.71875	245909.21875	133.922805786133	-47.3809394836426
-521888.25	301384.96875	8.28058433532715	-42.8608322143555
-519918.78125	367589.15625	-122.442443847656	-21.4316577911377
-521162.9375	459385.90625	-213.446441650391	-20.0066604614258
-520465.15625	520753.09375	-286.570404052734	-22.7464427947998
-519987.34375	520817.46875	-357.294891357422	-29.9887523651123
-519996.09375	520204.3125	-362.800506591797	-11.6992588043213
-519996.09375	521523.53125	-489.565216064453	-47.1353721618652
-519996.09375	519976.59375	-1644.05920410156	-75.4415283203125
-519996.09375	521377.71875	-4116.02587890625	-70.3168411254883
-519996.09375	520296.1875	-5525.05615234375	-93.8658142089844
-519996.09375	520953.9375	-5381.6357421875	-81.0060577392578
-519988.9375	521040.28125	-5747.005859375	-72.2531204223633
-520130.3125	521646.125	-7069.646484375	-86.8307418823242
-520817.78125	521059.5625	-10783.0888671875	-61.0054893493652
