16.00
10/Sep/2025	14:53:39	8000
2.00	16.00

Channel 1	Channel 2	Channel 3	Channel 4	Channel 5	Channel 6	Channel 7	Channel 8	Channel 9	Channel 10	Channel 11	Channel 12	Channel 13	Channel 14	Channel 15	Channel 16	Channel 17	Channel 18	Channel 19	Channel 20	Channel 21	Channel 22	Channel 23	Channel 24	Channel 25	Channel 26	Channel 27	Channel 28	Channel 29	Channel 30	Channel 31	Channel 32	Channel 33	Channel 34	Channel 35	Channel 36
-101.634376525879	27.3336906433105	-100.010597229004	-157.661087036133	-90.8438186645508	-243.13752746582	-410.106658935547	-232.638977050781	-292.229064941406	51.3777618408203	292.532775878906	-69.5702285766602	-460.555908203125	-268.951995849609	83.1712341308594	173.833602905273	-5.50816822052002	509.289825439453	276.792602539062	42.7518577575684	-219.41780090332	692.986511230469	-150.727493286133	18.2346649169922	157.818771362305	-17.4321918487549	-96.7273941040039	130.479400634766	41.057258605957	218.626800537109	294.1455078125	-2.24561834335327	163.696838378906	-20.0297222137451	-50.5872230529785	-5.0904803276062
-215.832183837891	48.1427879333496	-28.6616764068604	-126.751525878906	-152.58935546875	-209.747482299805	-420.802215576172	-235.716796875	-297.585845947266	52.6182022094727	310.060272216797	-63.4212760925293	-452.272857666016	-299.259857177734	50.120475769043	185.966445922852	30.7656860351562	457.697082519531	248.860397338867	-76.5867538452148	-272.721374511719	748.22705078125	-108.657295227051	52.7771377563477	209.46516418457	-24.1239452362061	-95.9147186279297	157.051055908203	37.0523681640625	195.568771362305	277.101776123047	-12.2747325897217	189.685760498047	-16.0428466796875	-68.7973861694336	-1.10409939289093
-248.204330444336	78.5976257324219	31.0019683837891	-154.33235168457	-172.538452148438	-186.22819519043	-429.326721191406	-227.082748413086	-277.305969238281	74.2981033325195	314.314697265625	-75.698600769043	-456.858337402344	-310.967407226562	30.7086143493652	195.091415405273	65.717399597168	435.387847900391	217.156707763672	-88.5880508422852	-272.189971923828	771.031127929688	-59.3718032836914	30.6820297241211	199.341262817383	-40.7832984924316	-71.2912826538086	154.358520507812	16.1038875579834	204.573364257812	214.983352661133	-78.8346862792969	217.043914794922	41.2922058105469	-49.388801574707	28.2481098175049
-404.597534179688	74.8461151123047	59.4883346557617	-140.517959594727	-178.078384399414	-213.457092285156	-396.506988525391	-227.732772827148	-284.886810302734	110.381744384766	342.294769287109	-103.827659606934	-461.07421875	-300.109497070312	-9.67192363739014	147.565399169922	82.3606185913086	332.681365966797	184.727874755859	-135.54931640625	-262.577362060547	717.829711914062	-30.6742649078369	56.6873741149902	185.078033447266	-33.6122589111328	-112.7490234375	149.530868530273	5.35411834716797	214.202285766602	212.211135864258	-96.6290512084961	237.133926391602	46.242603302002	-67.9201049804688	26.3999290466309
-486.349334716797	81.8004531860352	123.140548706055	-130.393539428711	-214.736343383789	-214.781860351562	-426.483062744141	-214.627456665039	-309.652069091797	99.7007675170898	330.880279541016	-115.612739562988	-455.370788574219	-288.328552246094	-9.46614360809326	95.1457443237305	91.1581878662109	213.815948486328	174.260299682617	-169.740997314453	-240.584075927734	624.824401855469	-6.21183252334595	78.8710327148438	178.616653442383	-15.1388559341431	-129.599090576172	123.406242370605	-57.0128593444824	224.237243652344	215.698471069336	-96.4054107666016	221.399658203125	84.028938293457	-66.0088119506836	17.4001903533936
-561.868835449219	91.4776763916016	174.102844238281	-155.070465087891	-211.352081298828	-207.855056762695	-455.537628173828	-217.227874755859	-269.395812988281	88.4685668945312	330.114379882812	-158.438293457031	-444.523040771484	-276.176330566406	-11.3194122314453	64.1506958007812	119.197700500488	135.344146728516	191.977844238281	-152.590866088867	-266.283660888672	544.846801757812	-20.9160118103027	73.1156463623047	101.589508056641	-6.25546264648438	-108.419723510742	127.655601501465	-79.4917831420898	246.06462097168	165.324340820312	-125.172027587891	224.520294189453	109.286338806152	-69.1844100952148	22.2217483520508
-807.807373046875	74.3856658935547	206.436096191406	-161.799942016602	-210.427017211914	-202.097717285156	-418.675842285156	-199.671676635742	-276.177368164062	95.2518005371094	346.873138427734	-180.308364868164	-480.570495605469	-209.490417480469	-67.6121597290039	-16.8390808105469	130.353363037109	80.2259521484375	175.252700805664	-150.22785949707	-292.970336914062	437.570220947266	-5.79305934906006	97.1815872192383	15.1242847442627	-12.0141649246216	-115.551956176758	126.310707092285	-137.776641845703	223.797409057617	179.075881958008	-97.4482955932617	244.015167236328	93.67626953125	-122.658638000488	47.4520988464355
-738.760620117188	-69.9612731933594	224.609329223633	-129.977966308594	-251.375732421875	-197.569549560547	-393.503295898438	-194.100372314453	-304.036926269531	94.2694396972656	313.247344970703	-139.600723266602	-498.254089355469	-106.119148254395	-76.9379196166992	-53.8569374084473	142.897659301758	45.0162734985352	193.079986572266	-114.610015869141	-233.018768310547	322.608184814453	14.596791267395	95.6080627441406	-56.7725601196289	-17.0717506408691	-120.458099365234	112.735626220703	-177.169448852539	255.072875976562	178.576522827148	-71.5657272338867	200.584121704102	144.604125976562	-95.1657485961914	70.5538787841797
-1194.36047363281	-183.194931030273	241.367584228516	-128.135437011719	-245.393524169922	-223.019073486328	-376.014404296875	-217.36393737793	-291.698944091797	36.8330345153809	305.235229492188	-122.551490783691	-446.555603027344	-63.6187057495117	-73.4047164916992	-103.975341796875	175.643005371094	34.8955001831055	228.217025756836	-110.682739257812	-231.19792175293	222.249389648438	54.4387626647949	77.6229400634766	-125.238792419434	-0.199752777814865	-96.7158813476562	118.960121154785	-158.874908447266	302.342590332031	165.340316772461	-54.474536895752	201.795013427734	156.520080566406	-103.553077697754	50.8919944763184
-614.414978027344	-17.3797836303711	260.535095214844	-147.136474609375	-224.601547241211	-252.525100708008	-338.669708251953	-213.86311340332	-271.163543701172	-0.354707807302475	303.694732666016	-91.8471984863281	-460.167419433594	7.02356576919556	-68.3701171875	-189.125427246094	176.627380371094	72.7405548095703	213.421035766602	-91.1396560668945	-239.163146972656	142.720596313477	99.2729339599609	62.5668449401855	-209.417465209961	-7.17112970352173	-87.9001312255859	88.2442092895508	-162.929946899414	289.968688964844	158.075286865234	-5.99128246307373	173.777557373047	177.075408935547	-134.830642700195	51.2867240905762
-1293.17932128906	-1046.01721191406	284.954711914062	-96.5634231567383	-223.081924438477	-249.237579345703	-263.740112304688	-197.538146972656	-235.969741821289	7.26522827148438	247.331420898438	-43.2954559326172	-446.261840820312	115.498809814453	-37.6748924255371	-258.391082763672	221.216430664062	144.751098632812	208.185958862305	-86.1872940063477	-201.114807128906	70.8056640625	149.454650878906	59.5983238220215	-285.808288574219	-38.1080436706543	-112.638916015625	93.8540420532227	-123.787620544434	293.148315429688	174.373397827148	3.01386094093323	91.8544921875	183.639373779297	-100.66202545166	50.5935211181641
-3344.37426757812	-5285.611328125	343.619995117188	-63.0989952087402	-210.679336547852	-257.222076416016	-212.962051391602	-199.479919433594	-242.637573242188	-28.2712860107422	230.930236816406	-23.0576362609863	-409.520416259766	160.934417724609	-19.3608531951904	-348.580535888672	294.199096679688	243.93586730957	204.434951782227	-86.9327850341797	-206.863891601562	5.11242866516113	210.312042236328	60.3829879760742	-295.433807373047	-22.1791553497314	-78.1473159790039	87.0230026245117	-93.5843276977539	316.932708740234	179.431243896484	8.47232532501221	89.9589080810547	178.473022460938	-110.031463623047	44.5590438842773
-6333.31494140625	-11710.744140625	397.172088623047	-81.8458404541016	-195.608123779297	-270.584167480469	-193.957824707031	-229.581176757812	-246.327484130859	-42.0975723266602	217.853713989258	-4.68726301193237	-406.817962646484	215.083511352539	-15.101019859314	-440.701080322266	292.190063476562	419.374298095703	209.678970336914	-52.8299903869629	-179.517578125	-18.153507232666	222.446807861328	40.6198806762695	-262.526672363281	-16.8912029266357	-54.4653396606445	50.3984603881836	-77.0229110717773	327.6689453125	197.799026489258	51.0786895751953	46.7731742858887	197.097717285156	-139.242446899414	93.1653060913086
-10704.5703125	-14642.2001953125	447.795135498047	-25.5815887451172	-203.371688842773	-236.927154541016	-176.714569091797	-220.557662963867	-217.890487670898	-53.4150085449219	191.682418823242	18.8003616333008	-364.154968261719	257.911590576172	4.04734706878662	-532.342712402344	302.930969238281	638.199523925781	233.403442382812	-108.927322387695	-180.518447875977	-45.4791831970215	226.897583007812	45.0210418701172	-219.572677612305	-12.3498449325562	-65.9853515625	33.5336608886719	-31.1981658935547	332.41552734375	234.754638671875	71.7831497192383	-2.14023518562317	206.118865966797	-124.597114562988	77.7826614379883
-9338.9208984375	-14194.5380859375	498.307373046875	11.3151788711548	-218.042938232422	-206.019149780273	-134.630615234375	-204.637237548828	-218.950180053711	-110.702239990234	168.3818359375	20.166316986084	-337.329071044922	285.204315185547	52.9139633178711	-625.944458007812	354.7529296875	808.763732910156	252.472213745117	-158.497756958008	-196.810394287109	-89.9298477172852	211.388656616211	29.5182704925537	-150.836212158203	19.2054100036621	-81.5000915527344	32.3248443603516	-6.28599834442139	337.340789794922	208.598327636719	87.3615493774414	-20.9113540649414	217.623672485352	-115.688041687012	46.6508636474609
-12115.650390625	-18616.203125	490.229858398438	22.6006908416748	-171.172637939453	-221.247451782227	-108.210983276367	-237.746551513672	-208.830276489258	-132.519821166992	142.371154785156	-2.37566637992859	-323.491577148438	288.458435058594	86.4049072265625	-713.492431640625	346.302520751953	995.048889160156	269.942108154297	-168.829528808594	-185.002777099609	-83.9100723266602	155.476654052734	8.02449226379395	-80.0112380981445	-3.09246897697449	-105.810646057129	25.5760135650635	-0.85216760635376	340.905029296875	236.182479858398	98.0399703979492	-13.5262851715088	194.093521118164	-115.526748657227	57.412956237793
-22941.953125	-27445.576171875	501.026763916016	29.4256763458252	-145.774154663086	-228.171432495117	-161.959686279297	-236.421722412109	-194.837799072266	-174.821197509766	145.966903686523	-31.6275806427002	-284.5478515625	259.597564697266	98.6891250610352	-805.883728027344	358.449249267578	1119.40161132812	320.374816894531	-180.6943359375	-211.792526245117	-119.784309387207	76.1111831665039	-18.2113151550293	-35.4152412414551	4.18440341949463	-107.407684326172	-11.785005569458	-6.48426246643066	325.553985595703	255.176620483398	73.7375946044922	15.1253499984741	208.452072143555	-93.5007019042969	56.3572044372559
-32471.216796875	-28853.81640625	500.256805419922	-44.3362617492676	-150.275482177734	-220.476989746094	-194.612442016602	-224.00114440918	-199.935592651367	-227.724243164062	141.867782592773	-72.6722183227539	-249.969482421875	258.530548095703	130.620208740234	-874.766845703125	367.716674804688	1122.03002929688	398.181060791016	-205.372955322266	-211.255401611328	-187.551620483398	36.0828895568848	-21.9415798187256	8.99081230163574	30.3594665527344	-124.730461120605	-4.75470447540283	-35.3541679382324	305.235534667969	223.172409057617	75.6843490600586	15.9296903610229	204.494125366211	-89.2716293334961	59.4876823425293
-37346.05078125	-24616.640625	454.10498046875	-42.9809684753418	-96.6390991210938	-213.45573425293	-218.141555786133	-247.059509277344	-185.325759887695	-212.435653686523	102.879348754883	-102.174644470215	-219.45849609375	212.089752197266	130.066162109375	-912.5947265625	319.193389892578	1150.38586425781	453.485748291016	-191.346267700195	-218.866973876953	-204.872253417969	25.1071357727051	-5.81074953079224	71.6394119262695	18.6519966125488	-153.349472045898	-20.0993404388428	-50.8856468200684	305.026611328125	254.537689208984	92.3783721923828	51.0871963500977	191.334121704102	-85.5208587646484	50.3673210144043
-39808.16796875	-25275.77734375	476.83447265625	-57.3787879943848	-85.747917175293	-195.259246826172	-256.617858886719	-269.695861816406	-192.185165405273	-233.837219238281	66.2321472167969	-107.78727722168	-162.494979858398	136.029495239258	104.782592773438	-925.816223144531	328.833648681641	1108.96643066406	488.629028320312	-154.737808227539	-231.714965820312	-224.451293945312	-20.673303604126	-34.390251159668	156.583190917969	30.841646194458	-151.19270324707	-28.269344329834	-60.6661911010742	273.366271972656	259.547271728516	87.4863357543945	94.2172317504883	222.491302490234	-80.1260833740234	46.2727813720703
-41675.08203125	-23411.830078125	487.547454833984	-130.613159179688	-51.7696838378906	-232.375823974609	-291.880523681641	-267.065551757812	-179.897888183594	-258.532989501953	71.458740234375	-124.506065368652	-133.613800048828	74.2985076904297	132.847778320312	-890.210754394531	308.638122558594	989.964599609375	523.325561523438	-171.414642333984	-240.677719116211	-230.413299560547	-34.0262031555176	-16.316104888916	215.959808349609	47.7522468566895	-144.473861694336	-17.6640491485596	-67.0593795776367	235.827423095703	216.183868408203	91.302131652832	127.854278564453	218.716110229492	-66.3080520629883	36.1486473083496
-29510.080078125	-21768.501953125	458.550720214844	-134.258239746094	3.77608823776245	-267.592346191406	-331.856506347656	-267.3974609375	-198.344696044922	-263.209991455078	70.5620193481445	-129.255844116211	-98.98779296875	18.2790699005127	147.234146118164	-866.606323242188	260.304504394531	896.312438964844	523.813781738281	-132.597229003906	-270.170471191406	-229.614730834961	-11.2874116897583	6.35469055175781	288.770538330078	45.9796257019043	-145.238647460938	-47.7611846923828	-24.1320476531982	232.118316650391	230.78971862793	115.205780029297	159.963958740234	215.318161010742	-44.7279968261719	32.8934020996094
-4091.62060546875	-25631.796875	422.704986572266	-156.517227172852	19.4552345275879	-256.560729980469	-361.912933349609	-282.8837890625	-265.613555908203	-277.786102294922	62.4345893859863	-98.5764923095703	-56.6870231628418	-23.2570762634277	100.915634155273	-836.094116210938	267.232025146484	750.730834960938	472.249145507812	-91.676383972168	-270.900634765625	-246.121337890625	0.315856218338013	10.4642992019653	346.089080810547	31.1688251495361	-115.936645507812	-39.0637550354004	39.7368850708008	209.225326538086	282.505859375	118.5859375	224.733322143555	185.898712158203	-34.5197334289551	38.804328918457
21948.515625	-22551.044921875	386.383087158203	-186.456207275391	102.630241394043	-278.746124267578	-402.896026611328	-289.293731689453	-255.261215209961	-255.307907104492	81.6019058227539	-70.2388458251953	-70.3437576293945	-79.4463958740234	76.4072570800781	-779.749938964844	254.388442993164	573.475830078125	413.089447021484	-83.4916305541992	-262.514862060547	-230.391235351562	25.0707530975342	17.288969039917	336.526641845703	42.3525085449219	-114.856056213379	-36.5273056030273	56.0628204345703	178.27409362793	301.172088623047	134.854598999023	258.971038818359	199.125213623047	-1.64818263053894	33.267692565918
33525.8671875	-10851.2978515625	349.607055664062	-210.7236328125	150.791213989258	-289.765045166016	-448.150238037109	-313.319610595703	-308.400238037109	-247.562301635742	98.5334396362305	-41.380802154541	-18.4283428192139	-125.386642456055	100.855644226074	-701.727111816406	233.815811157227	399.973754882812	379.319396972656	-66.8754806518555	-263.654724121094	-189.980972290039	43.697093963623	11.1097164154053	332.682037353516	30.1048431396484	-97.618049621582	-35.0549926757812	75.3345413208008	162.014587402344	306.453765869141	151.483093261719	240.164154052734	228.931488037109	-16.2659206390381	26.9396209716797
32083.365234375	12038.287109375	284.764373779297	-223.897888183594	167.257247924805	-297.894104003906	-475.924346923828	-314.622894287109	-365.492706298828	-266.812927246094	75.6451110839844	11.3799276351929	20.7705554962158	-127.094459533691	121.414161682129	-613.780700683594	210.270431518555	208.640228271484	365.473175048828	2.35769629478455	-273.667846679688	-202.068511962891	47.1998291015625	31.4215106964111	288.688110351562	22.2700366973877	-23.871150970459	-44.8030319213867	117.289070129395	165.1689453125	358.660003662109	116.431365966797	283.113830566406	181.573638916016	-18.9931144714355	6.92695808410645
30033.103515625	40339.09375	246.111831665039	-196.145370483398	209.634963989258	-304.419464111328	-487.625335693359	-324.350250244141	-348.762176513672	-286.723693847656	64.6408462524414	60.1516647338867	-16.8543186187744	-131.86979675293	92.5716934204102	-520.089782714844	194.730117797852	20.0729274749756	336.538024902344	11.9312467575073	-270.97265625	-179.389205932617	43.1224060058594	23.4067344665527	234.938568115234	61.2487564086914	-11.0793466567993	-50.1942520141602	101.058753967285	156.571853637695	387.572265625	135.334228515625	318.964080810547	198.486846923828	23.6573638916016	3.03387069702148
22716.16796875	57443.52734375	225.736709594727	-179.479736328125	261.798950195312	-313.866119384766	-515.25146484375	-329.309753417969	-384.492004394531	-288.927093505859	117.320541381836	79.6284027099609	-11.0978164672852	-132.164428710938	62.4160385131836	-415.193817138672	155.831619262695	-203.838470458984	309.727722167969	-35.9494667053223	-256.556610107422	-128.030349731445	46.5537223815918	5.89494609832764	169.026275634766	51.9200630187988	18.5569000244141	-27.2390174865723	68.2304763793945	142.49089050293	386.415496826172	120.302268981934	264.910675048828	240.726959228516	35.9548263549805	9.06615257263184
20121.43359375	71556.15625	222.841079711914	-147.909194946289	307.498962402344	-334.295532226562	-528.775268554688	-277.80078125	-427.450653076172	-290.313568115234	118.242965698242	106.865592956543	-1.79141497612	-103.463729858398	66.1583023071289	-341.924621582031	111.218231201172	-407.865539550781	287.843688964844	25.3541469573975	-241.140640258789	-120.887977600098	68.1436157226562	17.7097797393799	59.5333442687988	58.8562812805176	68.7596969604492	-51.9755249023438	47.863109588623	159.31803894043	395.265930175781	105.731986999512	235.067443847656	204.534927368164	49.5544509887695	2.79882574081421
15133.291015625	82464.03125	216.487915039062	-114.472183227539	271.152801513672	-316.458312988281	-527.940551757812	-280.167572021484	-469.299957275391	-341.926605224609	113.942108154297	114.820022583008	-49.6602096557617	-88.7752532958984	25.1581439971924	-236.285446166992	92.7771606445312	-542.383911132812	247.044174194336	15.5620937347412	-252.327865600586	-83.8952331542969	44.054027557373	8.45657539367676	-9.39313125610352	67.3612442016602	72.6887512207031	-75.5795364379883	-14.1387166976929	129.871810913086	375.618896484375	125.60920715332	244.850067138672	164.866577148438	47.7016067504883	6.6522045135498
-1111.51806640625	86681.671875	193.048919677734	-123.724876403809	204.309341430664	-321.577514648438	-532.720825195312	-275.627502441406	-468.795654296875	-377.262817382812	149.374954223633	109.939949035645	-51.4276390075684	-32.7795066833496	-8.66007709503174	-156.89453125	39.870979309082	-659.286071777344	194.767425537109	-12.7893571853638	-267.973724365234	-48.2860717773438	39.4152679443359	4.72035074234009	-109.671844482422	23.6432132720947	98.8995056152344	-71.9127883911133	-57.3409271240234	117.955322265625	382.614227294922	83.3470840454102	209.01725769043	165.639572143555	59.0672760009766	-0.257386893033981
-10897.8779296875	101977.65625	193.078567504883	-136.140045166016	110.651092529297	-284.697906494141	-561.736328125	-304.431427001953	-477.574279785156	-377.279968261719	139.795349121094	116.137504577637	-37.3920822143555	34.4381675720215	-37.5736389160156	-79.7143859863281	-7.43600654602051	-729.826354980469	122.748001098633	6.27689361572266	-235.822555541992	-19.6751441955566	55.9111404418945	-7.4857439994812	-181.989807128906	49.9932556152344	119.120147705078	-90.5023727416992	-67.1640548706055	125.64533996582	373.119781494141	107.413261413574	185.291000366211	117.52180480957	65.0079879760742	-19.9438877105713
-16763.423828125	128482.5390625	176.17561340332	-161.816497802734	67.3750305175781	-238.628219604492	-573.124877929688	-327.565582275391	-518.805419921875	-400.033538818359	158.872634887695	88.7757110595703	-74.8595657348633	81.0452728271484	-87.3794860839844	26.5991687774658	-56.2707672119141	-790.876342773438	89.5061264038086	-8.00186824798584	-258.992980957031	35.1191101074219	29.8490829467773	-20.6314468383789	-188.152053833008	89.6552810668945	127.342956542969	-111.600708007812	-124.436508178711	90.8334121704102	337.781982421875	97.0571823120117	165.325942993164	98.1989822387695	37.0164108276367	4.10053253173828
-18706.068359375	177096.609375	161.232772827148	-212.82649230957	100.078689575195	-254.363204956055	-547.919860839844	-313.395080566406	-515.96533203125	-407.916290283203	184.898513793945	83.3640670776367	-66.0671920776367	131.891128540039	-84.2388687133789	84.7949600219727	-88.3463363647461	-779.958923339844	53.8415832519531	7.22401714324951	-298.794891357422	99.1877212524414	50.7411880493164	-5.17459440231323	-238.622665405273	37.5768966674805	128.820922851562	-119.959922790527	-159.897659301758	101.140472412109	308.60400390625	50.5920715332031	146.562271118164	140.99772644043	52.3934707641602	31.4641647338867
